Date,Frequancy
2015-08-17,5
2015-08-18,15
2015-08-19,16
2015-08-20,21
2015-08-21,20
2015-08-22,17
2015-08-23,16
2015-08-24,19
2015-08-25,25
2015-08-26,13
2015-08-27,23
2015-08-28,19
2015-08-29,15
2015-08-30,21
2015-08-31,26
2015-09-01,25
2015-09-02,31
2015-09-03,36
2015-09-04,25
2015-09-05,25
2015-09-06,13
2015-09-07,23
2015-09-08,16
2015-09-09,19
2015-09-10,24
2015-09-11,19
2015-09-12,25
2015-09-13,13
2015-09-14,21
2015-09-15,21
2015-09-16,39
2015-09-17,38
2015-09-18,31
2015-09-19,36
2015-09-20,29
2015-09-21,33
2015-09-22,32
2015-09-23,28
2015-09-24,19
2015-09-25,21
2015-09-26,41
2015-09-27,21
2015-09-28,24
2015-09-29,39
2015-09-30,26
2015-10-01,17
2015-10-02,17
2015-10-03,10
2015-10-04,8
2015-10-05,16
2015-10-06,9
2015-10-07,12
2015-10-08,4
2015-10-09,12
2015-10-10,16
2015-10-11,10
2015-10-12,6
2015-10-13,3
2015-10-14,5
2015-10-15,5
