contents,date
"<메이즈 러너: 스코치 트라이얼> 프랑스 포스터

최근에 본 포스터 중에 제일 멋있다 ((((물개박수)))) 국내 개봉은 9월 17일 pic.twitter.com/KD0Yi7j5mg",2015-08-17
<메이즈 러너: 스코치 트라이얼> 새롭게 공개된 프랑스 포스터 대공개... (출처 : 가일의 영.. | 네이버 블로그) http://me2.do/GC16Wq3W ,2015-08-17
8월 27일 아메리칸 울트라  9월 3일 앤트맨  9월 10일 셀프리스  9월 17일 메이즈 러너:스코치 트라이얼  10월 8일 마션  10월 29일 맨 프롬 엉클.,2015-08-17
+_이 카페는 메이즈러너의 2부인 스코치 트라이얼을 기반으로 하고 있는 남부권 코스카페입니다. 현재 코스스탭으로 브렌다  헤리엇을 모집하고 있으니 많은 관심부탁드립니다. 스탭에 관련된 공고는 관글을 봐주시면 감사합니다.,2015-08-17
@j_optimistick 1기 메이즈러너 2기 스코치 트라이얼 3기 데스큐어로 완벽하게 엔딩내는거야,2015-08-17
"<메이즈 러너: 스코치 트라이얼> 이기홍  토마스 생스터 9월 1일 내한 확정. 3일까지 3일간 한국에 머물며 내한 일정을 소화할 예정

0 ㅁ 0
http://www.breaknews.com/sub_read.html?uid=387862&section=sc4 … pic.twitter.com/7q2sfMwFTd",2015-08-18
"https://www.facebook.com/CJCGV/videos/977412918998626/ …
<메이즈 러너: 스코치 트라이얼> 토마스 생스터 & 이기홍의 내한 예고 영상. 기홍이 한국말 씹귘ㅋㅋㅋㅋㅋㅋ 9월 1일 내한  3일 오후 7시에는 cgv 라이브톡 진행 pic.twitter.com/sad9d4gPlB",2015-08-18
"'메이즈 러너:스코치 트라이얼' 이기홍 내한 예고 영상.
9/3 CGV 라이브톡 예정. 
https://www.facebook.com/CJCGV/videos/vb.119682344771692/977412918998626/?type=2&theater …",2015-08-18
영화 '메이즈 러너: 스코치 트라이얼'에 출연한 한국계 배우 이기홍 씨가 토마스 생스터와 함께 내한합니다. 이 씨가 전한 내한 예고 영상입니다. http://i.wik.im/229438  #이기홍 pic.twitter.com/NJJTZwc7m3,2015-08-18
메이즈 러너: 스코치 트라이얼 https://youtu.be/L8h55c6A3HA  via @YouTube wahh his korean ><,2015-08-18
메이즈러너:스코치트라이얼 9월1~3일 일정으로 민호-이기홍  뉴트-토마스 생스터 내한 하네..!!오오오오 http://m.breaknews.com/a.html?uid=387862&section=sc4 …pic.twitter.com/Ws8WItucWv,2015-08-18
이기홍  토마스 생스터 내한 소식 - 메이즈 러너 2 : 스코치 트라이얼 http://me2.do/GUKDk2ha ,2015-08-18
"[메이즈 러너: 스코치 트라이얼] 이기홍 내한 예고 영상: http://youtu.be/AJzNmUZS1YM 
아 파워 우울한데 홍이 넘 귀엽다 시부엉ㅠㅠㅜㅠㅜㅠㅜㅜㅜㅜㅜㅠㅜㅜㅜㅜㅜㅜㅜㅜㅠㅠ디지자 그냥ㅠㅠㅠㅠㅠㅠㅠㅠ",2015-08-18
"어머! 민호우 우리 나라 옴???????
‘메이즈 러너: 스코치 트라이얼’  이기홍-토마스 생스터 내한 확정!  브레이크뉴스  http://www.breaknews.com/sub_read.html?uid=387862 …",2015-08-18
"가야쥐 난 일본안가니까
[한국언론의 세대교체 ◆브레이크뉴스◆]  ‘메이즈 러너: 스코치 트라이얼’  이기홍-토마스 생스터 내한 확정!  http://m.breaknews.com/a.html?uid=387862 …",2015-08-18
"[메이즈 러너: 스코치 트라이얼] 이기홍 내한 예고 영상: http://youtu.be/AJzNmUZS1YM 

아...미친ㄴ 한국말 하는것도 개귀여워/ㅎㅇㅎㅇ",2015-08-18
+_이 카페는 메이즈러너의 2부인 스코치 트라이얼을 기반으로 하고 있는 남부권 코스카페입니다. 현재 코스스탭으로 브렌다  헤리엇을 모집하고 있으니 많은 관심부탁드립니다. 스탭에 관련된 공고는 관글을 봐주시면 감사합니다.,2015-08-18
"メイズランナー：スコーチトライアルの韓国プレミアが9/1に決定
ミンホとニュートが参加確定（9月1日から3日までの3日間韓国に滞在）
‘메이즈 러너: 스코치 트라이얼’  이기홍-토마스 생스터 내한 확정!  브레이크뉴스  http://www.breaknews.com/sub_read.html?uid=387862 …",2015-08-18
<메이즈 러너: 스코치 트라이얼> 이기홍 & 토마스 생스터 내한 확정! 이기홍의 내한 예고 영상 전격 공개! 9월 1일부터 3일까지 내한 + 9월 3일 오후 7시 CGV에서 라이브톡 진행 예정까지! pic.twitter.com/8BEkTn67JY,2015-08-18
‘메이즈 러너: 스코치 트라이얼’  이기홍-토마스 생스터 내한 확정! / 브레이크뉴스  http://www.breaknews.com/sub_read.html?uid=387862 …,2015-08-18
"#네영카 <메이즈 러너: 스코치 트라이얼> 무대인사관 시사회초대!!
이기홍X토마스브로디생스터 내한기념! 
예고편 http://tvcast.naver.com/v/487226 
RT 응모 http://me2.do/FXhrnhf3 pic.twitter.com/S7wIb8q40C",2015-08-19
"메이즈러너 스코치 트라이얼 내한 시사회  레드카펫에 참석 할 코스어들을 공식적으로가 아닌 09님(@by_o_u)께서 개인적으로 트친들을 모집한 일에 대한 정리글입니다. 홍연님(@znhyw6)께서 도움 주셨습니다
http://blog.naver.com/llento/220455693401 …",2015-08-19
Saya suka video @YouTube http://youtu.be/AJzNmUZS1YM?a  [메이즈 러너: 스코치 트라이얼] 이기홍 내한 예고 영상,2015-08-19
"9월달에 개봉하는 스코치 트라이얼 상당히 재미가 있을 꺼라 생각합니다. 메이즈러너 후속
편이죠! pic.twitter.com/HYVH2kZPMl",2015-08-19
<메이즈 러너 : 스코치 트라이얼> 이기홍&토마스 생스터 내한 확정소식! http://blog.naver.com/juckwoo/220454539162 …,2015-08-19
