Date,Frequancy
2016-08-01,1
2016-08-02,1
2016-08-03,0
2016-08-04,1
2016-08-05,2
2016-08-06,1
2016-08-07,0
2016-08-08,1
2016-08-09,4
2016-08-10,2
2016-08-11,2
2016-08-12,4
2016-08-13,3
2016-08-14,4
2016-08-15,2
2016-08-16,1
2016-08-17,9
2016-08-18,4
2016-08-19,2
2016-08-20,5
2016-08-21,4
2016-08-22,27
2016-08-23,5
2016-08-24,2
2016-08-25,2
2016-08-26,6
2016-08-27,8
2016-08-28,1
2016-08-29,8
2016-08-30,5
2016-08-31,19
2016-09-01,18
2016-09-02,10
2016-09-03,10
2016-09-04,16
2016-09-05,7
2016-09-06,5
2016-09-07,2
2016-09-08,3
2016-09-09,3
2016-09-10,1
2016-09-11,3
2016-09-12,1
2016-09-13,0
2016-09-14,0
2016-09-15,0
2016-09-16,0
2016-09-17,2
2016-09-18,1
2016-09-19,0
2016-09-20,0
2016-09-21,1
2016-09-22,1
2016-09-23,1
2016-09-24,0
2016-09-25,0
2016-09-26,0
2016-09-27,1
2016-09-28,2
2016-09-29,0
