contents,date
"-[영화] 메카닉: 리크루트 (08월 03일 까지)
참여하기 > Nylon Korea ( http://evnt.ga/2527  )",2016-08-01
[맥스무비] 영화정보 - 메카닉: 리크루트 http://m.maxmovie.com/movie/movie_info.asp?m_id=M000097472 …,2016-08-02
[당첨자발표]  영화 <메카닉:리크루트 > 예고편 공유  EVENT! http://fb.me/35FOgUxRK ,2016-08-04
DVD 영화와 VOD시청 올레~ 풍성한 볼거리와 통쾌한 액션 영화 제이슨 스타뎀x제시카 알바 [메카닉:리크루트] http://blog.naver.com/8585g/220780431414 …,2016-08-05
[NYLON event]  영화 <메카닉: 리크루트> 예매권 이벤트  당첨자  발표 http://fb.me/8rEB71oo5 ,2016-08-05
제이슨 스타뎀 개봉예정작 메카닉: 리크루트 그리고 조연배우 야야잉 라타 퐁남  http://blog.naver.com/byejun017/220780482819 …,2016-08-06
메카닉: 리크루트(Mechanic: Resurrection) 예고편 영상 http://dynamide.tistory.com/9859 ,2016-08-08
볼만한 영화 [제이슨 스타뎀]스포츠월드 '메카닉: 리크루트'  메인 예고편 대공개 8월31일 대개봉 http://aodaisyou1.blog.me/220783688049 ,2016-08-09
˙메카닉: 리크루트˙  메인 예고편 대공개 (출처 : 스포츠월드 | 네이버 TV연예) http://naver.me/F011TdKS ,2016-08-09
메카닉: 리크루트 http://fb.me/8g2ZvBjJf ,2016-08-09
"메카닉: 리크루트: 

액션  범죄  스릴러 / 미국  프랑스 / 2016.08.31 개봉 / [해외] R  
감독 : 데니스 간젤 
출연 : 제이슨 스타뎀(비숍)  제시카 알바(지나)  토미... http://bit.ly/2baumhw ",2016-08-09
<액션영화 진수!>제이슨 스타뎀과 제시카 알바 주연의 메카닉:리크루트 꼭 봐야겠죠? http://blog.naver.com/knh9304/220784267158 …,2016-08-10
<메카닉: 리크루트> 제이슨 스타뎀의 화려한 신작액션이 찾아온다! (출처 : ★ 무비 J.. | http://kaminari2002.blog.me/220783965648  블로그) http://naver.me/xIEEkeYv ,2016-08-10
[맥스무비] 뜰까?이영화 - 메카닉: 리크루트 영화의 흥행을 예측해 주세요. http://www.maxmovie.com/movie_info/max_boomup_list.asp …,2016-08-11
"상대형이 쏜다 !  "" 메카닉 : 리크루트  ""
영화 예매권 이벤트
-
 총30매 제공 [ 1인2매 온라인권 15명 추첨 ]
-
이벤트 참여 방법 : 현 이벤트 게시물… https://www.instagram.com/p/BI9NJTCg4oU/ ",2016-08-11
나는 로빅이다. #CGV 1318클럽 #빅스 요원들과 함께하는 <메카닉 리크루트> 시사회 이벤트가 오픈되어 안내하는 로빅이다. 청소년 별빛요원들의 많은 참여 바란다! http://section.cgv.co.kr/event/running/EventZone.aspx?idx=543 …,2016-08-12
 메카닉: 리크루트 Mechanic: Resurrection http://blog.naver.com/jade104/220785697673 …,2016-08-12
[더 코리아뉴스] 배순민 기자 = 제이슨 본을 이을 올 여름 마지막 액션 '메카닉: 리크루트'가 '테이큰' ... http://thekoreanews.com//detail.php?number=33019 …,2016-08-12
영화 ‘메카닉: 리크루트’  “제이슨 스타뎀 현업 복귀하다!” - 시사위크 http://fb.me/1iuE9ycXD ,2016-08-12
[맥스무비] 뜰까?이영화 - 메카닉: 리크루트 영화의 흥행을 예측해 주세요. http://www.maxmovie.com/movie_info/max_boomup_list.asp …,2016-08-13
동영상을 @YouTube 재생목록 http://youtu.be/BSHup59z4DM?a  원더우먼 / 신비한 동물사전 / 메카닉: 리크루트 - 영화,2016-08-13
