Date,Frequancy
2015-06-30,2
2015-07-01,1
2015-07-02,1
2015-07-03,0
2015-07-04,0
2015-07-05,0
2015-07-06,0
2015-07-07,0
2015-07-08,1
2015-07-09,0
2015-07-10,1
2015-07-11,1
2015-07-12,0
2015-07-13,5
2015-07-14,5
2015-07-15,2
2015-07-16,4
2015-07-17,5
2015-07-18,2
2015-07-19,7
2015-07-20,6
2015-07-21,6
2015-07-22,7
2015-07-23,3
2015-07-24,2
2015-07-25,4
2015-07-26,4
2015-07-27,16
2015-07-28,2
2015-07-29,20
2015-07-30,53
2015-07-31,38
2015-08-01,38
2015-08-02,51
2015-08-03,38
2015-08-04,34
2015-08-05,19
2015-08-06,22
2015-08-07,26
2015-08-08,29
2015-08-09,17
2015-08-10,9
2015-08-11,17
2015-08-12,21
2015-08-13,8
2015-08-14,3
2015-08-15,7
2015-08-16,15
2015-08-17,9
2015-08-18,3
2015-08-19,5
2015-08-20,6
2015-08-21,2
2015-08-22,4
2015-08-23,5
2015-08-24,1
2015-08-25,0
2015-08-26,2
2015-08-27,1
2015-08-28,3
