Date,Frequancy
2016-05-17,0
2016-05-18,0
2016-05-19,1
2016-05-20,1
2016-05-21,0
2016-05-22,3
2016-05-23,8
2016-05-24,2
2016-05-25,4
2016-05-26,4
2016-05-27,5
2016-05-28,0
2016-05-29,2
2016-05-30,3
2016-05-31,2
2016-06-01,7
2016-06-02,3
2016-06-03,5
2016-06-04,6
2016-06-05,11
2016-06-06,1
2016-06-07,5
2016-06-08,10
2016-06-09,1
2016-06-10,11
2016-06-11,3
2016-06-12,1
2016-06-13,10
2016-06-14,5
2016-06-15,8
2016-06-16,10
2016-06-17,6
2016-06-18,3
2016-06-19,14
2016-06-20,11
2016-06-21,5
2016-06-22,1
2016-06-23,4
2016-06-24,1
2016-06-25,2
2016-06-26,2
2016-06-27,5
2016-06-28,1
2016-06-29,1
2016-06-30,2
2016-07-01,1
2016-07-02,1
2016-07-03,2
2016-07-04,1
2016-07-05,1
2016-07-06,0
2016-07-07,0
2016-07-08,1
2016-07-09,2
2016-07-10,4
2016-07-11,1
2016-07-12,5
2016-07-13,3
2016-07-14,1
2016-07-15,3
