contents,date
저도요ㅋㅋ 개봉 예상은 했는데 미스터 라잇보다 먼저 정해지니 조금 슬퍼지네요ㅠ 미스터 라잇... 개봉 하긴 하는 건지..ㅠ 어떤 역일지 어떤 연기 보여줄지 넘 기대되고 궁금합니다+ㅅ+,2016-05-19
헐 미스터 라잇 6월 16일 개봉 ㅠㅠ 우어 저거 개봉한다 ㅠㅠ,2016-05-20
[ #Tistory ][미스터 라잇] http://sallykim.tistory.com/1820 ,2016-05-22
트친님이 제보해주신!!! 리트윗이 안 되서 올리는 미스터 라잇 6월 16일 대개봉!!!! @Nagyeong_28 님 알려주셔서 감사합니다ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ pic.twitter.com/31aiOBd6e3,2016-05-22
오늘 종일 졸리고 더워서 늘어지고 해서 오후까진 에오쉴 좀 보고 오후엔 낮잠 한숨 자고 나니 저녁이길래 낼 출근할 생각 하니 축 쳐져 있다가 미스터 라잇 개봉 소식 들으니 넘 좋다~ 일요일이지만 신나!,2016-05-22
영화 ‘미스터 라잇’ 6월 16일 개봉 확정…메인포스터 공개 http://dam27.com/?p=267063  pic.twitter.com/WVtgDGE3hl,2016-05-23
BSTODAY 모바일 사이트  '미스터 라잇'  연애 루저와 킬러가 만났다...6월 16일 개봉 확정 http://m.bstoday.busan.com/news/articleView.html?idxno=69709 …,2016-05-23
ㄷㅋ에서 줏어온 내 오시 생사진. 첫번째 투어의상은 끌린다...미스터 문라잇 버전도 좋은데 투어 의상이 뭔가 적당하다?!라는 느낌??? pic.twitter.com/Rrjyf2YZgl,2016-05-23
6월 16일에 미스터 라잇 개봉해서 극장에서 보고 나서 애나 영화 줄세우기 다시 정리해야지.,2016-05-23
샘 록웰  안나 켄드릭 주연 로맨틱 코미디 <미스터 라잇> 국내판 포스터 http://buff.ly/1WMdD5w pic.twitter.com/zgVXl5Ksac,2016-05-23
미스터 라잇이요ㅋㅋㅋ 아 정말 시간표 넘 걱정돼요ㅠㅠㅠ 일정도.. 한 일주일이라도 걸려 있었으면 좋겠는...ㅋㅋ,2016-05-23
"백현 씨더라잇 see the light picturesque 1.5
  폭스백 foxbaek aldebaran 1.5
찬백 러브드렁크 백현 catch my light 1.0
세훈 
윈디데이 love on top 1.5
DVD 미데 미스터데스티니 1.5",2016-05-23
영화 ‘미스터 라잇’ 6월 16일 개봉 확정…메인포스터 공개 http://dam27.com/?p=267063  pic.twitter.com/1Nx6owtWfw,2016-05-23
에슼 바이러스ㅋㅋㅋㅋ 진짜 완전 바이러스급인..!! 그러고보니 라멘님은 프리헬.. 아니 로렐 이미 보셨겠군요! 7월 7일 개봉이라고 알고 있는데 저도 개봉하면 로렐 보러ㅋㅋㅋ 미스터 라잇..ㅋㅋ 걍 킬링 타임용으로 보세오ㅋㅋㅋ,2016-05-24
