Date,Frequancy
2016-09-19,1
2016-09-20,2
2016-09-21,1
2016-09-22,2
2016-09-23,0
2016-09-24,1
2016-09-25,2
2016-09-26,4
2016-09-27,4
2016-09-28,12
2016-09-29,3
2016-09-30,9
2016-10-01,21
2016-10-02,3
2016-10-03,5
2016-10-04,12
2016-10-05,5
2016-10-06,4
2016-10-07,27
2016-10-08,11
2016-10-09,4
2016-10-10,22
2016-10-11,10
2016-10-12,16
2016-10-13,15
2016-10-14,12
2016-10-15,11
2016-10-16,22
2016-10-17,13
2016-10-18,8
2016-10-19,12
2016-10-20,14
2016-10-21,6
2016-10-22,8
2016-10-23,13
2016-10-24,9
2016-10-25,10
2016-10-26,2
2016-10-27,3
2016-10-28,4
2016-10-29,7
2016-10-30,1
2016-10-31,3
2016-11-01,1
2016-11-02,2
2016-11-03,3
2016-11-04,3
2016-11-05,8
2016-11-06,0
2016-11-07,2
2016-11-08,4
2016-11-09,2
2016-11-10,1
2016-11-11,2
2016-11-12,0
2016-11-13,2
2016-11-14,0
2016-11-15,0
2016-11-16,0
2016-11-17,0
