Date,Frequency
2015-07-14,40
2015-07-15,44
2015-07-16,42
2015-07-17,42
2015-07-18,40
2015-07-19,4
2015-07-20,24
2015-07-21,18
2015-07-22,16
2015-07-23,23
2015-07-24,25
2015-07-25,11
2015-07-26,18
2015-07-27,22
2015-07-28,59
2015-07-29,43
2015-07-30,54
2015-07-31,47
2015-08-01,31
2015-08-02,43
2015-08-03,38
2015-08-04,18
2015-08-05,53
2015-08-06,35
2015-08-07,42
2015-08-08,23
2015-08-09,18
2015-08-10,28
2015-08-11,25
2015-08-12,35
2015-08-13,41
2015-08-14,35
2015-08-15,37
2015-08-16,36
2015-08-17,41
2015-08-18,61
2015-08-19,42
2015-08-20,18
2015-08-21,21
2015-08-22,19
2015-08-23,24
2015-08-24,14
2015-08-25,16
2015-08-26,23
2015-08-27,27
2015-08-28,9
2015-08-29,29
2015-08-30,31
2015-08-31,17
2015-09-01,15
2015-09-02,16
2015-09-03,4
2015-09-04,7
2015-09-05,10
2015-09-06,11
2015-09-07,6
2015-09-08,2
2015-09-09,5
2015-09-10,12
2015-09-11,10
