Date,Frequancy
2017-05-07,22
2017-05-08,13
2017-05-09,34
2017-05-10,34
2017-05-11,32
2017-05-12,23
2017-05-13,29
2017-05-14,18
2017-05-15,26
2017-05-16,25
2017-05-17,27
2017-05-18,24
2017-05-19,45
2017-05-20,26
2017-05-21,27
2017-05-22,36
2017-05-23,38
2017-05-24,38
2017-05-25,28
2017-05-26,23
2017-05-27,35
2017-05-28,35
2017-05-29,36
2017-05-30,45
2017-05-31,36
2017-06-01,35
2017-06-02,36
2017-06-03,37
2017-06-04,46
2017-06-05,45
2017-06-06,68
2017-06-07,43
2017-06-08,40
2017-06-09,55
2017-06-10,58
2017-06-11,62
2017-06-12,42
2017-06-13,40
2017-06-14,42
2017-06-15,40
2017-06-16,37
2017-06-17,33
2017-06-18,47
2017-06-19,39
2017-06-20,59
2017-06-21,39
2017-06-22,41
2017-06-23,36
2017-06-24,39
2017-06-25,40
2017-06-26,39
2017-06-27,37
2017-06-28,36
2017-06-29,41
2017-06-30,38
2017-07-01,40
2017-07-02,34
2017-07-03,31
2017-07-04,33
2017-07-05,33
