Date,Frequancy
2016-08-08,29
2016-08-09,33
2016-08-10,45
2016-08-11,33
2016-08-12,39
2016-08-13,26
2016-08-14,35
2016-08-15,39
2016-08-16,35
2016-08-17,35
2016-08-18,35
2016-08-19,36
2016-08-20,68
2016-08-21,38
2016-08-22,29
2016-08-23,37
2016-08-24,38
2016-08-25,62
2016-08-26,42
2016-08-27,44
2016-08-28,40
2016-08-29,59
2016-08-30,39
2016-08-31,54
2016-09-01,38
2016-09-02,53
2016-09-03,36
2016-09-04,34
2016-09-05,63
2016-09-06,35
2016-09-07,65
2016-09-08,66
2016-09-09,99
2016-09-10,98
2016-09-11,70
2016-09-12,75
2016-09-13,45
2016-09-14,45
2016-09-15,73
2016-09-16,57
2016-09-17,58
2016-09-18,82
2016-09-19,42
2016-09-20,53
2016-09-21,57
2016-09-22,82
2016-09-23,42
2016-09-24,59
2016-09-25,59
2016-09-26,46
2016-09-27,53
2016-09-28,36
2016-09-29,41
2016-09-30,44
2016-10-01,40
2016-10-02,49
2016-10-03,57
2016-10-04,45
2016-10-05,24
2016-10-06,41
