Date,Frequency
2016-02-23,4
2016-02-24,2
2016-02-25,2
2016-02-26,3
2016-02-27,1
2016-02-28,2
2016-02-29,2
2016-03-01,1
2016-03-02,10
2016-03-03,4
2016-03-04,8
2016-03-05,2
2016-03-06,5
2016-03-07,9
2016-03-08,4
2016-03-09,4
2016-03-10,7
2016-03-11,12
2016-03-12,11
2016-03-13,3
2016-03-14,22
2016-03-15,12
2016-03-16,9
2016-03-17,18
2016-03-18,12
2016-03-19,15
2016-03-20,11
2016-03-21,14
2016-03-22,25
2016-03-23,34
2016-03-24,36
2016-03-25,36
2016-03-26,36
2016-03-27,30
2016-03-28,30
2016-03-29,29
2016-03-30,31
2016-03-31,26
2016-04-01,22
2016-04-02,16
2016-04-03,16
2016-04-04,24
2016-04-05,15
2016-04-06,4
2016-04-07,5
2016-04-08,13
2016-04-09,10
2016-04-10,10
2016-04-11,12
2016-04-12,3
2016-04-13,3
2016-04-14,4
2016-04-15,2
2016-04-16,0
2016-04-17,3
2016-04-18,4
2016-04-19,5
2016-04-20,2
2016-04-21,2
2016-04-22,1
