contents,date
배트맨 대 슈퍼맨: 저스티스의 시작 러닝타임이 2시간 31분 http://fb.me/TGrumfyn ,2016-02-23
<배트맨 대 슈퍼맨: 저스티스의 시작> 주요 캐릭터 6인 소개 http://buff.ly/1VAGdCw pic.twitter.com/fiIH5sK90x,2016-02-23
'배트맨 대 슈퍼맨 : 저스티스의 시작 캐릭터 포스터' 라는 이름의 게시물이 SNS와 커뮤니티를 통해 확산되고 있다. 해당 사진에 많은 누리꾼들이 공감댓글을 달고 있...... http://fb.me/5dBvr1UUC ,2016-02-23
DC 코믹북의 [배트맨 대 슈퍼맨] 커버 아트: [배트맨 대 슈퍼맨 : 저스티스의 시작]의 개봉을 맞아 DC 코믹은 추가 커버를 공개 했는데요. 모두 멋지군요. 최고의 DC 아티스트들이 참여를 했습... http://bit.ly/1SQPp7O ,2016-02-23
배트맨 대 슈퍼맨: 저스티스의 시작 (Batman v Superman: Dawn of Justice  2016) http://laizenti.blog.me/220637379583 ,2016-02-24
미국 극장 개봉은 PG-13등급인 '배트맨 대 슈퍼맨:저스티스의 시작'. 얼티메이트 에디션이 R등급받았다고. 아마도 블루레이등으로 보여질 예정인 듯?! https://twitter.com/EW/status/702315767681916928 …,2016-02-24
<배트맨 대 슈퍼맨: 저스티스의 시작> R등급 버전의 얼티밋 에디션이 따로 출시 예정이라고. 폭력적인 시퀀스가 R등급의 이유이며 극장 상영 버전은 PG-13등급 pic.twitter.com/eIYgVSL7sp,2016-02-25
<배트맨 대 슈퍼맨: 저스티스의 시작> 해시태그 이벤트 당첨자 발표 http://fb.me/3NlRJrtTa ,2016-02-25
"[2016-02-25]
[배트맨대슈퍼맨저스티스의시작 (Batman v Superman: Dawn of Justice)]
[워너브러더스코리아(주)]
[12세이상관람가]
[151분 27초]
https://www.kmrb.or.kr/data/searchMovieView.do?rcv_no=1135643 …",2016-02-26
<배트맨 대 슈퍼맨: 저스티스의 시작> 12세 이상 관람가 판정. http://buff.ly/1RshC1t pic.twitter.com/j4fO8ZmLPw,2016-02-26
로켓 리그  '배트맨 대 슈퍼맨: 저스티스의 시작' 차량 팩 티져 http://blog.naver.com/steam12345/220639011264 …,2016-02-26
배트맨 대 슈퍼맨: 저스티스의 시작 http://oneringtrailers.com?m=100429oneringtrailers.com/?m=100429  http://youtu.be/YBa6wAjRaN4  • 국내: 2016-03-24,2016-02-27
동생이 싱가포르 여행갔다가 싱텔에서 <배트맨 대 슈퍼맨: 저스티스의 시작> 굿즈를 사은품으로 받아왔다. 걍 컵인 줄 알았는데 바닥의 스위치를 켰더니.... ㅠㅠㅠㅠㅠㅠㅠㅠ pic.twitter.com/L4yw6v7h1C,2016-02-28
<배트맨 대 슈퍼맨: 저스티스의 시작> 현재까지 유튜브에 공개된 OST 모음 http://buff.ly/21AkmPb  pic.twitter.com/pepOw1qx9A,2016-02-28
<배트맨 대 슈퍼맨: 저스티스의 시작> 최신 프로모 이미지 http://buff.ly/1VMa7Us pic.twitter.com/tivjZBFlmF,2016-02-29
"#WhoWillWin 모든 대결에는 이유가 있다.
<배트맨 대 슈퍼맨: 저스티스의 시작> 파이널 예고편 최초공개!

역대급 슈퍼 히어로 매치!
당신은 어느 히어로를 지지할 것인가?

3월 24일 ... http://fb.me/7MfMicHlx ",2016-02-29
"3월에 볼 영화(개봉작):
조이
산하고인
헝거
마가렛트 여사의 숨길 수 없는 비밀
쥴 앤 짐
헤일  시저!
아노말리사
라스트 홈
하이 라이즈
(핀치 콘티니의 정원)
(배트맨 대 슈퍼맨: 저스티스의 시작)
(블라인드)",2016-03-01
<배트맨 대 슈퍼맨: 저스티스의 시작> 예고편 중 궁금한 장면 5가지 뽑아주시면 키 태그  티셔츠  우산 등 오리지널 경품 드립니다. http://buff.ly/1WUb7WO pic.twitter.com/zOKR4sTouC,2016-03-02
"크으~ 얼마 안남았다 ㅋㅋㅋㅋㅋ

배트맨 대 슈퍼맨: 저스티스의 시작 동영상 :: 네이버영화 (출처 : 네이버 영화) http://me2.do/GmQj36Yl ",2016-03-02
배트맨 대 슈퍼맨: 저스티스의 시작 http://oneringtrailers.com?m=100429oneringtrailers.com/?m=100429  http://youtu.be/RDlu8-AP09c  • 국내: 2016-03-24,2016-03-02
[배트맨 대 슈퍼맨: 저스티스의 시작] 오메이즈 후원 벤 애플렉이 배트모빌로 팬을 놀라게 하다! http://extmovie.maxmovie.com/xe/10252307?l=ko …,2016-03-02
"#페어아이 #이벤트 #박람회 #축제 #전시회 #네이버영화 #배트맨대슈퍼맨 #저스티스의시작
[네이버영화]배트맨대슈퍼맨 시사회
저스티스의 시작
http://pair-i.com/event/340 
응모는 해당사이트에서:D pic.twitter.com/UWwKx3wWsK",2016-03-02
"[2016-02-29]
[배트맨대슈퍼맨저스티스의시작 (3D) (Batman v Superman: Dawn of Justice)]
[워너브러더스코리아(주)]
[12세이상관람가]
[151분 27초]
https://www.kmrb.or.kr/data/searchMovieView.do?rcv_no=1136121 …",2016-03-02
"히어로 무비 역대급 결말 예고!
<배트맨 대 슈퍼맨:저스티스의 시작> 대한민국 최초 시사회 초대 이벤트

지금 바로 ‘역대급 대결 영상'을 확인하고 공유해주세요

추첨을 통해 #배트맨 v #슈퍼맨 의... http://fb.me/7M5wx7QxB ",2016-03-02
<캡틴 아메리카 3: 시빌 워> 개봉이 두 달 정도 남았는데 바로 이어서 <배트맨 대 슈퍼맨: 저스티스의 시작>도 개봉. 볼 영화들이 넘쳐나서 좋지만 영화관에서 볼 수 없을지도 모른다.,2016-03-02
[멜론VIP혜택관] 국내 최초! <배트맨 대 슈퍼맨: 저스티스의 시작> IMAX 3D 시사회 초대! #멜론 VIP 단독관 시사회로 여러분을 초대합니다~ ▷ http://vip.melon.com pic.twitter.com/5nyFtrTbEB,2016-03-02
배트맨 대 슈퍼맨: 저스티스의 시작 :: 네이버 영화 (출처 : 네이버 영화) http://me2.do/GyIgX6qA ,2016-03-02
이번 EW 이슈는 <배트맨 대 슈퍼맨: 저스티스의 시작> 특집! pic.twitter.com/p9QhfJrcys,2016-03-03
"<배트맨 대 슈퍼맨: 저스티스의 시작>
프로필 대결 이벤트!
추첨을 통해 푸짐한 경품을 드립니다
지금 바로 참여하세요!

#배트맨대슈퍼맨_저스티스의시작 #3월24일대개봉
#당신이응원하는히어로는누구 #배트맨 #슈퍼맨",2016-03-03
"'배트맨 대 슈퍼맨:저스티스의 시작' 개봉을 앞두고 트위터 이모지가! 
#BatmanvSuperman
#Batman #Superman #WhoWillWin
#LexLuthor #Wonderwoman pic.twitter.com/kAL6k4pn7F",2016-03-03
"<배트맨 대 슈퍼맨: 저스티스의 시작>
SNS 이모티콘 출시!
페이스북  트위터 이모티콘을 확인하세요

#배트맨대슈퍼맨_저스티스의시작 #이모티콘
#3월24일 #IMAX_3D #4DX #대개봉",2016-03-03
[배트맨 대 슈퍼맨: 저스티스의 시작] EW 커버와 스틸컷 http://buff.ly/1Qv4pGi pic.twitter.com/4YIW7arHGM,2016-03-04
"[리뷰를 구하라]&lt;배트맨 대 슈퍼맨: 저스티스의 시작&gt;시사회 이벤트[~3/20]
http://me2.do/xGaqyZ5t 
출처 : 리뷰를 구하라 ♬영화 시사회 공연 체험단 이벤트 공구 공동구매 | 네이버 카페",2016-03-04
