Date,Frequancy
2015-12-15,0
2015-12-16,0
2015-12-17,0
2015-12-18,0
2015-12-19,0
2015-12-20,0
2015-12-21,3
2015-12-22,19
2015-12-23,3
2015-12-24,2
2015-12-25,1
2015-12-26,3
2015-12-27,2
2015-12-28,3
2015-12-29,3
2015-12-30,36
2015-12-31,45
2016-01-01,35
2016-01-02,6
2016-01-03,18
2016-01-04,5
2016-01-05,38
2016-01-06,23
2016-01-07,22
2016-01-08,4
2016-01-09,6
2016-01-10,14
2016-01-11,5
2016-01-12,5
2016-01-13,13
2016-01-14,19
2016-01-15,15
2016-01-16,4
2016-01-17,0
2016-01-18,5
2016-01-19,3
2016-01-20,2
2016-01-21,0
2016-01-22,0
2016-01-23,1
2016-01-24,1
2016-01-25,2
2016-01-26,1
2016-01-27,1
2016-01-28,0
2016-01-29,0
2016-01-30,0
2016-01-31,0
2016-02-01,0
2016-02-02,0
2016-02-03,0
2016-02-04,1
2016-02-05,0
2016-02-06,2
2016-02-07,0
2016-02-08,0
2016-02-09,0
2016-02-10,0
2016-02-11,0
2016-02-12,0
