Date,Frequancy
2015-07-06,53
2015-07-07,49
2015-07-08,45
2015-07-09,37
2015-07-10,55
2015-07-11,34
2015-07-12,36
2015-07-13,33
2015-07-14,63
2015-07-15,55
2015-07-16,36
2015-07-17,57
2015-07-18,39
2015-07-19,30
2015-07-20,38
2015-07-21,64
2015-07-22,80
2015-07-23,77
2015-07-24,38
2015-07-25,38
2015-07-26,44
2015-07-27,38
2015-07-28,40
2015-07-29,41
2015-07-30,40
2015-07-31,70
2015-08-01,39
2015-08-02,34
2015-08-03,60
2015-08-04,88
2015-08-05,63
2015-08-06,70
2015-08-07,85
2015-08-08,80
2015-08-09,98
2015-08-10,50
2015-08-11,79
2015-08-12,67
2015-08-13,44
2015-08-14,58
2015-08-15,72
2015-08-16,57
2015-08-17,59
2015-08-18,73
2015-08-19,41
2015-08-20,95
2015-08-21,65
2015-08-22,47
2015-08-23,72
2015-08-24,86
2015-08-25,63
2015-08-26,42
2015-08-27,48
2015-08-28,37
2015-08-29,77
2015-08-30,97
2015-08-31,48
2015-09-01,83
2015-09-02,54
2015-09-03,52
