Date,Frequancy
2016-06-20,14
2016-06-21,45
2016-06-22,37
2016-06-23,36
2016-06-24,30
2016-06-25,37
2016-06-26,39
2016-06-27,32
2016-06-28,28
2016-06-29,30
2016-06-30,34
2016-07-01,60
2016-07-02,37
2016-07-03,32
2016-07-04,35
2016-07-05,41
2016-07-06,39
2016-07-07,66
2016-07-08,57
2016-07-09,70
2016-07-10,54
2016-07-11,47
2016-07-12,111
2016-07-13,63
2016-07-14,47
2016-07-15,46
2016-07-16,57
2016-07-17,48
2016-07-18,55
2016-07-19,37
2016-07-20,53
2016-07-21,113
2016-07-22,95
2016-07-23,86
2016-07-24,101
2016-07-25,96
2016-07-26,99
2016-07-27,83
2016-07-28,39
2016-07-29,46
2016-07-30,65
2016-07-31,59
2016-08-01,59
2016-08-02,78
2016-08-03,79
2016-08-04,69
2016-08-05,58
2016-08-06,76
2016-08-07,59
2016-08-08,57
2016-08-09,78
2016-08-10,80
2016-08-11,39
2016-08-12,57
2016-08-13,52
2016-08-14,62
2016-08-15,54
2016-08-16,41
2016-08-17,43
2016-08-18,54
