contents,date
"부산행 메인 포스터 (1500x2145)/(2145x1500)
안소희ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ진희야ㅠㅠㅠㅠㅠㅠㅠㅠㅠ
http://cfile3.uf.tistory.com/original/2312763A57687BDF103AF6 …
http://cfile2.uf.tistory.com/original/2207AF3A57687BE113F44B …pic.twitter.com/1aas40cczo",2016-06-20
영화 ‘부산행’  메인 포스터 2종 공개..전대미문 재난-극한의 사투 ‘관심↑’ / 브레이크뉴스  http://www.breaknews.com/sub_read.html?uid=448540 …,2016-06-20
"끝.까.지.살.아.남.아.라!
<#부산행> 메인 포스터 2종 대공개
압도적 비쥬얼! 올여름은 <부산행>이 책임진다

#공유 #정유미 #마동석 #최우식 #안소희 #김의성 #김수안
#부산행_7월20일_대개봉pic.twitter.com/CsP4G3dLnQ",2016-06-20
부산행의 카바네리 ㅋㅋㅋ 관통통 대신에 #배달통 #부산행 #갑철성 #카바네리pic.twitter.com/lPBxdFIbiL,2016-06-20
"전대미문 재난 블록버스터 [부산행] 07.20 개봉
영화 [부산행]에 탑승하라! 역대급 프리패스 탑승권 사수 이벤트

http://traintobusan.co.kr/index.html ",2016-06-20
"<부산행> 최우식 X 안소희 X 김수안  충무로 1020 세대의 대표 주자 3인이 뛴다!

http://blog.naver.com/cinemaplus/220740687845 …pic.twitter.com/OR59zH4CZr",2016-06-20
"전대미문 재난 블록버스터 [부산행] 07.20 개봉
영화 [부산행]에 탑승하라! 역대급 프리패스 탑승권 사수 이벤트

http://traintobusan.co.kr/index.html 
부산행 꼭 보고싶다！",2016-06-20
영화 #우리들 Gv 감독님과 배우분들  #부산행 의 #김수안 넘 귀여움 명배우 예약김혜수가 극찬한아역배우  부산행 깐느에서 극찬받음  무섭다고 소문남 무서우면 내취향 pic.twitter.com/J6NbMVzcNo,2016-06-20
"전대미문 재난 블록버스터 [부산행] 07.20 개봉
영화 [부산행]에 탑승하라! 역대급 프리패스 탑승권 사수 이벤트

#부산행
http://traintobusan.co.kr/index.html ",2016-06-20
"전대미문 재난 블록버스터 [부산행] 07.20 개봉
영화 [부산행]에 탑승하라! 역대급 프리패스 탑승권 사수 이벤트

http://traintobusan.co.kr/index.html ",2016-06-20
"전대미문 재난 블록버스터 [부산행] 07.20 개봉
영화 [부산행]에 탑승하라! 역대급 프리패스 탑승권 사수 이벤트
 http://traintobusan.co.kr/index.html ",2016-06-20
부산행 나 보고시프어,2016-06-20
"전대미문 재난 블록버스터 [부산행] 07.20 개봉
영화 [부산행]에 탑승하라! 역대급 프리패스 탑승권 사수 이벤트
 http://traintobusan.co.kr/index.html ",2016-06-20
"전대미문 재난 블록버스터 [부산행] 07.20 개봉
영화 [부산행]에 탑승하라! 역대급 프리패스 탑승권 사수 이벤트

http://ln.is/traintobusan.co.kr/Oj0wA …",2016-06-20
"최우식 영화 <부산행> 메인 포스터 공개!
Choi Woo Shik's new movie <TRAIN TO BUSAN> main poster!
http://naver.me/F9I5T8zx 
#최우식 #ChoiWooShik",2016-06-21
"'부산행' 김의성 ""개봉 후 '국민 밉상'으로 찍힐까 겁나"" http://fb.me/3ouQeoBrx ",2016-06-21
#부산행  배우들조차 무서워 한  좀비 블록버스터 <부산행> > 실시간급상승검색어 5741 http://1go.co.kr/bbs/board.php?bo_table=topic&wr_id=2214 … @1gokr 님이 공유,2016-06-21
"<부산행> 제작보고회 풀 영상
https://m.youtube.com/watch?v=e9h4lyaUE5c …",2016-06-21
안소희 부산행 제작발표회 pic.twitter.com/9HwumkkTo2,2016-06-21
"'부산행' 공유 ""감염자들 연기인데도 무서워  정유미 도망갔다"" ㅡ #연기 에 관한 이슈 모아보기 http://lenz.co.kr/taste/67191/timeline … 앱-  http://bit.ly/1QnugfV ",2016-06-21
[부산행] 부산행 메인 포스터 2종 공개! 영화 기대됩니다. ^^ http://blog.naver.com/artgihun/220741933880 …,2016-06-21
Facebook의 20160621 부산행 제작발표회 사진첩에 35장의 사진을 게시했습니다. http://fb.me/2h9Zi8YMX ,2016-06-21
[포토]공유 ‘자상한 아빠  딸바보 예약!’ (부산행) http://www.asiatoday.co.kr/view.php?key=20160621010010211 …,2016-06-21
"#1일1공유
#부산행 #넘나기다려지는것
#7월20일 #대개봉 
전대미문 재난 블록버스터 [부산행] 07.20 개봉
영화 [부산행]에 탑승하라! 역대급 프리패스 탑승권 사수 이벤트

http://traintobusan.co.kr/index.html ",2016-06-21
[S영상] '#부산행' 배우들의 기대를 모으는 면면들 (부산행) http://www.stardailynews.co.kr/news/articleView.html?idxno=101063 …,2016-06-21
"[겟잇케이•포토] '부산행' 안소희  '어머나! 상큼 터지는 표정'
http://www.getitk.com/?p=103410 
#안소희 #부산행 pic.twitter.com/1GEBokHUgP",2016-06-21
"#공유 ""' #부산행 ' 타고 싶었다  편승하고 싶었던 것"" 솔직 http://ow.ly/vNSQ301t1mt ",2016-06-21
"'부산행' 안소희 ""최우식에게 많이 의지 했다"" https://youtu.be/si85rqizfOw ",2016-06-21
[SSTV] ‘부산행’ 마동석-정유미 “서로 ‘마요미’  ‘정요미’라고 불러” https://youtu.be/lBx_jkR2aKE ,2016-06-21
160621 '부산행' 제작보고회 현장 #소희 #Sohee >///< Cr:as taggedpic.twitter.com/hXt7ilpu3Q,2016-06-21
"160621 부산행 제작보고회 #소희 기사사진 460p

>> http://blog.naver.com/kjqa/220742403936 …
#원더걸스 #WonderGirls #Soheepic.twitter.com/HzjkzjWu45",2016-06-21
"[현장리포트] ‘부산행’ 공유  “감염자 연기자들  너무 리얼해 깜짝 놀랐다” http://www.topstarnews.net/detail.php?number=201428 … @topstarnews 님이 공유
http://www.topstarnews.net/detail.php?number=201431 …pic.twitter.com/3zYRan3vU0",2016-06-21
"http://www.asiatoday.co.kr/view.php?key=20160621010010243 …
공유가 21일 오전 서울 종로구 청진동 그랑서울 나인트리컨벤션에서 열린 영화 '부산행'(감독 연상호) 제작보고회에 참석 pic.twitter.com/Lk8u5oET0A",2016-06-21
"http://hei.hankyung.com/hub01/201606219972I …
“‘부산행’을 하고 싶었던 가장 큰 이유는 처음 하는 것에 대한 욕심이 좀 있는 편이다. 영화가 잘 되든  안 되든 도전에 대한 기록은 남을 것”이라고 출연 계기 pic.twitter.com/AxjnP0uTFr",2016-06-21
"'부산행' 안소희 ""최우식에게 많이 의지 했다"" https://youtu.be/si85rqizfOw  #소희 #Sohee",2016-06-21
