Date,Frequancy
2017-03-13,2
2017-03-14,3
2017-03-15,4
2017-03-16,3
2017-03-17,20
2017-03-18,14
2017-03-19,2
2017-03-20,15
2017-03-21,16
2017-03-22,18
2017-03-23,14
2017-03-24,15
2017-03-25,21
2017-03-26,15
2017-03-27,14
2017-03-28,14
2017-03-29,17
2017-03-30,17
2017-03-31,17
2017-04-01,16
2017-04-02,4
2017-04-03,5
2017-04-04,18
2017-04-05,4
2017-04-06,14
2017-04-07,11
2017-04-08,3
2017-04-09,15
2017-04-10,25
2017-04-11,18
2017-04-12,34
2017-04-13,28
2017-04-14,27
2017-04-15,31
2017-04-16,25
2017-04-17,28
2017-04-18,14
2017-04-19,20
2017-04-20,20
2017-04-21,16
2017-04-22,11
2017-04-23,4
2017-04-24,13
2017-04-25,3
2017-04-26,6
2017-04-27,2
2017-04-28,5
2017-04-29,16
2017-04-30,10
2017-05-01,11
2017-05-02,5
2017-05-03,3
2017-05-04,1
2017-05-05,0
2017-05-06,4
2017-05-07,1
2017-05-08,4
2017-05-09,5
2017-05-10,4
2017-05-11,0
