Date,Frequency
2016-08-29,3
2016-08-30,10
2016-08-31,3
2016-09-01,19
2016-09-02,21
2016-09-03,5
2016-09-04,4
2016-09-05,23
2016-09-06,25
2016-09-07,21
2016-09-08,10
2016-09-09,11
2016-09-10,14
2016-09-11,3
2016-09-12,7
2016-09-13,6
2016-09-14,2
2016-09-15,4
2016-09-16,3
2016-09-17,4
2016-09-18,14
2016-09-19,27
2016-09-20,13
2016-09-21,30
2016-09-22,26
2016-09-23,19
2016-09-24,44
2016-09-25,37
2016-09-26,22
2016-09-27,18
2016-09-28,38
2016-09-29,55
2016-09-30,35
2016-10-01,37
2016-10-02,45
2016-10-03,31
2016-10-04,34
2016-10-05,16
2016-10-06,25
2016-10-07,31
2016-10-08,24
2016-10-09,28
2016-10-10,14
2016-10-11,10
2016-10-12,13
2016-10-13,8
2016-10-14,11
2016-10-15,10
2016-10-16,8
2016-10-17,9
2016-10-18,6
2016-10-19,2
2016-10-20,4
2016-10-21,6
2016-10-22,4
2016-10-23,4
2016-10-24,3
2016-10-25,4
2016-10-26,2
2016-10-27,1
