contents,date
9월 마지막 주 개봉작들 중에서는 미스 페레그린과 이상한 아이들의 집  아수라  설리: 허드슨강의 기적  할머니의 먼 집  브리짓 존스의 베이비  립반윙클의 신부  다가오는 것들  물숨에 관심이 간다. 한편만 고르라면 다가오는 것들을 보겠다.,2016-08-29
아 브리짓존스의 베이비 다니엘 클리버 죽은 설정이야...??ㅋㅋㅋㅋㅋ 시밬ㅋㅋㅋ 넘하네ㅋㅋㅋㅋ,2016-08-29
브리짓 존스의 베이비 9월에 드디어 개봉 캬아 콜린 퍼스 본다,2016-08-29
'브리짓 존스의 베이비' 스틸 공개..여전히 사랑스러운 브리짓 (출처 : 일간스포츠 | 네이버 TV연예) http://naver.me/Gsq3KLjt ,2016-08-30
＇브리짓 존스의 베이비＇의 남자들..뉴페이스도 있어요! http://v.media.daum.net/v/20160830202614155 …,2016-08-30
르네 젤위거  콜린 퍼스 주연 <브리짓 존스의 베이비> 고화질 스틸컷 11종 http://buff.ly/2bxWfAx pic.twitter.com/sk8TgFrWGo,2016-08-30
영화< 브리짓존스의 베이비> 시사회 http://blog.naver.com/wjdwn882/220800720842 …,2016-08-30
"[포토] 로코 명작의 귀환 ‘브리짓 존스의 베이비’ 스틸컷 공개
 http://bit.ly/2c4mHhF pic.twitter.com/KNgEO6WcTl",2016-08-30
9월 개봉 영화  <브리짓 존스의 베이비> 스틸컷 12종 공개 http://blog.naver.com/duddjw1004/220800214474 …,2016-08-30
브리짓 존스의 베이비 고화질 다시보기 https://gatipyo.wordpress.com/2016/08/30/%eb%b8%8c%eb%a6%ac%ec%a7%93-%ec%a1%b4%ec%8a%a4%ec%9d%98-%eb%b2%a0%ec%9d%b4%eb%b9%84-%ea%b3%a0%ed%99%94%ec%a7%88-%eb%8b%a4%ec%8b%9c%eb%b3%b4%ea%b8%b0 …,2016-08-30
"브리짓존스의 베이비 
기대된다ㅠㅠㅜㅠㅠ
브리짓존스의 일기 보면서 콜린퍼스 완전 좋아했는데 또 나오다니",2016-08-30
브리짓존스의 베이비 http://blog.naver.com/hjsrokmp/220800259266 …,2016-08-30
‘브리짓 존스의 베이비’ 9월 29일 개봉 http://dam25.com/?p=297056 pic.twitter.com/WcyFUOZ3Z9,2016-08-30
브리짓 존스의 베이비 Bridget Jones's Baby   2016 http://blog.naver.com/senior4060/220801136828 …,2016-08-31
일하기 싫어서 하반기 기대되는 개봉작 포스터를 모아봤습니다. 매우 랜덤합니다. 다음 침공은 어디?  카페 소사이어티  립반 윙클의 신부  브리짓 존스의 베이비 pic.twitter.com/2P6hC0truf,2016-08-31
<무비프리 이벤트> 브리짓 존스의 베이비  * 레이디스 시사회 : 여성 전용 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 .. http://app.moviepre.co.kr  pic.twitter.com/2bMQGtEE5i,2016-08-31
"[genie] [메세지] 
[공유] ♬Still Falling For You (영화 '브리짓 존스의 베이비' OST) - Ellie Goulding
 http://genie.co.kr/6KAAM8 ",2016-09-01
‘브리짓 존스의 베이비’ 처럼 ‘영국’ 즐기기 http://blog.naver.com/travel-bike/220802413990 …,2016-09-01
<브리짓 존스의 베이비> 촬영 비하인드 영상 http://buff.ly/2bJuO2e pic.twitter.com/e6DBa8vaaI,2016-09-01
"브리짓 존스의 일기 (2001)
브리짓 존스의 일기 열정과 애정 (2004)
브리짓 존스의 베이비 (2016) NEW!!! pic.twitter.com/7Y3y09Alxg",2016-09-01
미친거아냐 진짜?엉어엉어어어어어어어엉 브리짓 존스의 베이비는 저 장면 만으로도 대성공,2016-09-01
<무비프리 이벤트> 브리짓 존스의 베이비  * 레이디스 시사회 : 여성 전용 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 .. http://app.moviepre.co.kr  pic.twitter.com/MqAL27HDeW,2016-09-01
<무비프리 이벤트> 브리짓 존스의 베이비  * 레이디스 시사회 : 여성 전용 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 .. http://app.moviepre.co.kr  pic.twitter.com/idudWI4xY6,2016-09-01
<무비프리 이벤트> 브리짓 존스의 베이비  * 레이디스 시사회 : 여성 전용 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 .. http://app.moviepre.co.kr  pic.twitter.com/ClBg2s5V3b,2016-09-01
<무비프리 이벤트> 브리짓 존스의 베이비  * 레이디스 시사회 : 여성 전용 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 .. http://app.moviepre.co.kr  pic.twitter.com/RaIrdh5j9T,2016-09-01
<무비프리 이벤트> 브리짓 존스의 베이비  * 레이디스 시사회 : 여성 전용 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 .. http://app.moviepre.co.kr  pic.twitter.com/VAOpy0kM4r,2016-09-01
<무비프리 이벤트> 브리짓 존스의 베이비  * 레이디스 시사회 : 여성 전용 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 .. http://app.moviepre.co.kr  pic.twitter.com/MrWSPH7bhY,2016-09-01
<무비프리 이벤트> 브리짓 존스의 베이비  * 레이디스 시사회 : 여성 전용 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 .. http://app.moviepre.co.kr  pic.twitter.com/7pm6bXvB7Y,2016-09-01
<무비프리 이벤트> 브리짓 존스의 베이비  * 레이디스 시사회 : 여성 전용 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 .. http://app.moviepre.co.kr  pic.twitter.com/vbfz6BGmaw,2016-09-01
<무비프리 이벤트> 브리짓 존스의 베이비  * 레이디스 시사회 : 여성 전용 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 .. http://app.moviepre.co.kr  pic.twitter.com/zVNApaXY5l,2016-09-01
<무비프리 이벤트> 브리짓 존스의 베이비  * 레이디스 시사회 : 여성 전용 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 .. http://app.moviepre.co.kr  pic.twitter.com/n3ea6BUltx,2016-09-01
<무비프리 이벤트> 브리짓 존스의 베이비  * 레이디스 시사회 : 여성 전용 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 .. http://app.moviepre.co.kr  pic.twitter.com/6T8dl6n6Xc,2016-09-01
<무비프리 이벤트> 브리짓 존스의 베이비  * 레이디스 시사회 : 여성 전용 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 .. http://app.moviepre.co.kr  pic.twitter.com/PwXVADzFwp,2016-09-01
<무비프리 이벤트> 브리짓 존스의 베이비  * 레이디스 시사회 : 여성 전용 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 .. http://app.moviepre.co.kr  pic.twitter.com/Ak07Wcp7YY,2016-09-01
<무비프리 이벤트> 브리짓 존스의 베이비  * 레이디스 시사회 : 여성 전용 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 .. http://app.moviepre.co.kr  pic.twitter.com/DZcXqecKug,2016-09-01
????!!!??!!뭐락우 브리짓존스의 베이비라구????????후속편이야?????미친 콜린퍼스 또 나옵니까..?????볼래..광광.......,2016-09-02
"다음주에 있을 <브리짓 존스의 베이비> 시사회에 당첨됐다. 
브리짓 존스 시리즈를  유난히 좋아하던 친구가 생각나서 같이 꼭 가려고했는데 그 의미가 전달된 것 같다. 
르네 젤위거  콜린 퍼스  패트릭 뎀시는 보기만해도 기분 좋아지게하는 배우들",2016-09-02
빨리 28일 돼서 브리짓존스의 베이비 개봉했으면 좋겠다 마음은 진작 브리짓 이입해서 갈팡질팡중임 pic.twitter.com/HCTaNadP1E,2016-09-02
"'브리짓 존스'가 돌아오다! 
스펙업 회원님들과 함께하는 <브리짓 존스의 베이비> 시사회 이벤트(~9/7  23:59)

☞ 영화명 : <브리짓 존스의 베이비>

☞ 시사회 일정 및 장소

9월 9일... http://fb.me/2DJDkqRfO ",2016-09-02
혹시 뵨드랑 고버 내리면 볼 거 없을까봐 검색해봤는데 일단 밀정있고 카페소사이어티있고 브리짓존스의 베이비도있고ㅜㅠㅠㅠㅠㅠ 콜린퍼스도있다((이거아님,2016-09-02
ㅇㅁㅇ.............브리짓 존스의 베이비가 아니라 마크 다아시의 베이비인가보다,2016-09-02
콜린 미쳤냐고ㅠㅜㅜㅜㅠㅠㅠ 브리짓 존스의 베이비에서 존ㄴㅏ 해리처럼 나와...... 그냥 해리인데요........ 수트....... 해리인데요........,2016-09-02
<무비프리 이벤트> 브리짓 존스의 베이비  * 레이디스 시사회 : 여성 전용 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 .. http://app.moviepre.co.kr  pic.twitter.com/1RhKZLBnji,2016-09-02
<무비프리 이벤트> 브리짓 존스의 베이비  * 레이디스 시사회 : 여성 전용 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 .. http://app.moviepre.co.kr  pic.twitter.com/uRtvTdGTOA,2016-09-02
<무비프리 이벤트> 브리짓 존스의 베이비  * 레이디스 시사회 : 여성 전용 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 .. http://app.moviepre.co.kr  pic.twitter.com/jsQesZvOwb,2016-09-02
<무비프리 이벤트> 브리짓 존스의 베이비  * 레이디스 시사회 : 여성 전용 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 .. http://app.moviepre.co.kr  pic.twitter.com/5ngjhSVen5,2016-09-02
<무비프리 이벤트> 브리짓 존스의 베이비  * 레이디스 시사회 : 여성 전용 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 .. http://app.moviepre.co.kr  pic.twitter.com/xKAqRryoQd,2016-09-02
<무비프리 이벤트> 브리짓 존스의 베이비  * 레이디스 시사회 : 여성 전용 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 .. http://app.moviepre.co.kr  pic.twitter.com/bxm9UhiMWe,2016-09-02
<무비프리 이벤트> 브리짓 존스의 베이비  * 레이디스 시사회 : 여성 전용 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 .. http://app.moviepre.co.kr  pic.twitter.com/NZTPWsRmJ2,2016-09-02
<무비프리 이벤트> 브리짓 존스의 베이비  * 레이디스 시사회 : 여성 전용 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 .. http://app.moviepre.co.kr  pic.twitter.com/z7pDNTWYE2,2016-09-02
<무비프리 이벤트> 브리짓 존스의 베이비  * 레이디스 시사회 : 여성 전용 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 .. http://app.moviepre.co.kr  pic.twitter.com/wSmDvCAdPK,2016-09-02
<무비프리 이벤트> 브리짓 존스의 베이비  * 레이디스 시사회 : 여성 전용 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 .. http://app.moviepre.co.kr  pic.twitter.com/5gE4MAAlXR,2016-09-02
<무비프리 이벤트> 브리짓 존스의 베이비  * 레이디스 시사회 : 여성 전용 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 .. http://app.moviepre.co.kr  pic.twitter.com/YMWTsAcKHb,2016-09-02
<무비프리 이벤트> 브리짓 존스의 베이비  * 레이디스 시사회 : 여성 전용 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 .. http://app.moviepre.co.kr  pic.twitter.com/qYsrC7vu0r,2016-09-02
<무비프리 이벤트> 브리짓 존스의 베이비  * 레이디스 시사회 : 여성 전용 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 .. http://app.moviepre.co.kr  pic.twitter.com/3ROmGUaOmB,2016-09-02
<무비프리 이벤트> 브리짓 존스의 베이비  * 레이디스 시사회 : 여성 전용 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 .. http://app.moviepre.co.kr  pic.twitter.com/Dx5TZ8YoPj,2016-09-02
헐 브리짓 존스의 베이비 레이디스 시사회 당첨됐다;,2016-09-03
2016-2017 브리짓 존스의 베이비 2016년 9월 28일 개봉예정영화 브리짓 존스의 베이비 르네 젤위거 주연 (Bridget Jones's Baby  2016)  네이버 네티즌 평가 9.66 http://blog.naver.com/rapper00/220803624334 …,2016-09-03
아 브리짓 존스의 베이비 보고싶어서 무비프리 열심히 응모했는데 여성전용 시사회구나^^,2016-09-03
"“[무료초대] 레이디스 시사회 ""브리짓 존스의 베이비""” 모임에 댓글을 남겼습니다. http://onoff.mx/77156#comment-282666 … 브리짓존스의 일기를 책으로 보고  영화까지 1 2편 모두 챙겨봤어요- 화면에 나오는 브리짓존스의 모…",2016-09-03
<무비프리 이벤트> 브리짓 존스의 베이비  * 레이디스 시사회 : 여성 전용 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 .. http://app.moviepre.co.kr  pic.twitter.com/worijo1JDj,2016-09-03
Day 17. 내일 런던에서 열리는 <브리짓 존스의 베이비> 프리미어 레드카펫 취재를 하게 되었다. (본업은 공부지만 인터뷰나 취재도 짬을 내서 할 예정) 이것 저것… https://www.instagram.com/p/BJ7wC32gpcK/ ,2016-09-04
네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 영국에서 본 것 같고 그쪽 계열에서 일하시는 분 같은데 개념이 없으신가봐요 글도 되게 기분나쁘게 써서.. 여러분 저 브리짓 존스의 베이비 결말 압니다!!!,2016-09-04
브리짓존스의 베이비 결말로 맠다니 만들어버렸음 좋겠네 마크도 이제 브리짓한테 그만 휘둘리고 고향으로 돌아가(?),2016-09-04
