Date,Frequancy
2017-02-14,10
2017-02-15,6
2017-02-16,3
2017-02-17,1
2017-02-18,5
2017-02-19,3
2017-02-20,9
2017-02-21,10
2017-02-22,5
2017-02-23,3
2017-02-24,4
2017-02-25,4
2017-02-26,1
2017-02-27,4
2017-02-28,3
2017-03-01,4
2017-03-02,5
2017-03-03,12
2017-03-04,9
2017-03-05,8
2017-03-06,10
2017-03-07,4
2017-03-08,49
2017-03-09,35
2017-03-10,20
2017-03-11,11
2017-03-12,11
2017-03-13,36
2017-03-14,39
2017-03-15,24
2017-03-16,32
2017-03-17,29
2017-03-18,28
2017-03-19,20
2017-03-20,18
2017-03-21,13
2017-03-22,13
2017-03-23,12
2017-03-24,6
2017-03-25,8
2017-03-26,9
2017-03-27,9
2017-03-28,9
2017-03-29,7
2017-03-30,2
2017-03-31,4
2017-04-01,9
2017-04-02,4
2017-04-03,2
2017-04-04,1
2017-04-05,6
2017-04-06,2
2017-04-07,4
2017-04-08,2
2017-04-09,2
2017-04-10,1
2017-04-11,3
2017-04-12,1
2017-04-13,2
2017-04-14,1
