Date,Frequancy
2016-05-30,62
2016-05-31,55
2016-06-01,37
2016-06-02,41
2016-06-03,44
2016-06-04,58
2016-06-05,42
2016-06-06,37
2016-06-07,40
2016-06-08,56
2016-06-09,58
2016-06-10,56
2016-06-11,58
2016-06-12,50
2016-06-13,53
2016-06-14,52
2016-06-15,44
2016-06-16,51
2016-06-17,40
2016-06-18,55
2016-06-19,51
2016-06-20,56
2016-06-21,47
2016-06-22,64
2016-06-23,52
2016-06-24,48
2016-06-25,69
2016-06-26,56
2016-06-27,48
2016-06-28,50
2016-06-29,56
2016-06-30,58
2016-07-01,52
2016-07-02,45
2016-07-03,71
2016-07-04,49
2016-07-05,59
2016-07-06,45
2016-07-07,50
2016-07-08,52
2016-07-09,58
2016-07-10,46
2016-07-11,52
2016-07-12,49
2016-07-13,49
2016-07-14,53
2016-07-15,54
2016-07-16,61
2016-07-17,62
2016-07-18,47
2016-07-19,43
2016-07-20,54
2016-07-21,43
2016-07-22,44
2016-07-23,60
2016-07-24,54
2016-07-25,40
2016-07-26,45
2016-07-27,57
2016-07-28,43
