Date,Frequancy
2016-12-05,37
2016-12-06,35
2016-12-07,40
2016-12-08,32
2016-12-09,32
2016-12-10,27
2016-12-11,32
2016-12-12,39
2016-12-13,37
2016-12-14,36
2016-12-15,34
2016-12-16,37
2016-12-17,39
2016-12-18,34
2016-12-19,35
2016-12-20,36
2016-12-21,38
2016-12-22,35
2016-12-23,38
2016-12-24,33
2016-12-25,40
2016-12-26,38
2016-12-27,41
2016-12-28,38
2016-12-29,36
2016-12-30,39
2016-12-31,42
2017-01-01,39
2017-01-02,36
2017-01-03,38
2017-01-04,38
2017-01-05,40
2017-01-06,40
2017-01-07,36
2017-01-08,39
2017-01-09,39
2017-01-10,36
2017-01-11,39
2017-01-12,39
2017-01-13,34
2017-01-14,33
2017-01-15,35
2017-01-16,41
2017-01-17,35
2017-01-18,28
2017-01-19,30
2017-01-20,40
2017-01-21,30
2017-01-22,35
2017-01-23,34
2017-01-24,34
2017-01-25,35
2017-01-26,38
2017-01-27,34
2017-01-28,40
2017-01-29,38
2017-01-30,41
2017-01-31,37
2017-02-01,38
2017-02-02,35
