Date,Frequancy
2016-06-27,2
2016-06-28,1
2016-06-29,0
2016-06-30,3
2016-07-01,0
2016-07-02,6
2016-07-03,4
2016-07-04,3
2016-07-05,3
2016-07-06,1
2016-07-07,0
2016-07-08,2
2016-07-09,1
2016-07-10,1
2016-07-11,3
2016-07-12,0
2016-07-13,1
2016-07-14,1
2016-07-15,1
2016-07-16,1
2016-07-17,2
2016-07-18,2
2016-07-19,1
2016-07-20,0
2016-07-21,2
2016-07-22,4
2016-07-23,1
2016-07-24,1
2016-07-25,4
2016-07-26,2
2016-07-27,8
2016-07-28,1
2016-07-29,5
2016-07-30,6
2016-07-31,4
2016-08-01,7
2016-08-02,2
2016-08-03,3
2016-08-04,4
2016-08-05,2
2016-08-06,2
2016-08-07,0
2016-08-08,2
2016-08-09,1
2016-08-10,4
2016-08-11,2
2016-08-12,2
2016-08-13,0
2016-08-14,0
2016-08-15,4
2016-08-16,1
2016-08-17,0
2016-08-18,1
2016-08-19,1
2016-08-20,0
2016-08-21,2
2016-08-22,0
2016-08-23,1
2016-08-24,0
2016-08-25,1
