Date,Frequency
2016-07-04,17
2016-07-05,14
2016-07-06,6
2016-07-07,20
2016-07-08,22
2016-07-09,15
2016-07-10,16
2016-07-11,38
2016-07-12,40
2016-07-13,20
2016-07-14,37
2016-07-15,24
2016-07-16,20
2016-07-17,26
2016-07-18,30
2016-07-19,36
2016-07-20,34
2016-07-21,20
2016-07-22,20
2016-07-23,29
2016-07-24,20
2016-07-25,20
2016-07-26,40
2016-07-27,20
2016-07-28,33
2016-07-29,36
2016-07-30,34
2016-07-31,38
2016-08-01,40
2016-08-02,40
2016-08-03,35
2016-08-04,20
2016-08-05,35
2016-08-06,20
2016-08-07,38
2016-08-08,40
2016-08-09,20
2016-08-10,20
2016-08-11,20
2016-08-12,36
2016-08-13,20
2016-08-14,20
2016-08-15,37
2016-08-16,37
2016-08-17,20
2016-08-18,34
2016-08-19,20
2016-08-20,39
2016-08-21,20
2016-08-22,31
2016-08-23,20
2016-08-24,20
2016-08-25,20
2016-08-26,20
2016-08-27,30
2016-08-28,20
2016-08-29,19
2016-08-30,20
2016-08-31,23
2016-09-01,22
