Date,Frequancy
2016-08-01,1
2016-08-02,7
2016-08-03,8
2016-08-04,3
2016-08-05,5
2016-08-06,2
2016-08-07,2
2016-08-08,3
2016-08-09,6
2016-08-10,17
2016-08-11,9
2016-08-12,10
2016-08-13,8
2016-08-14,2
2016-08-15,1
2016-08-16,6
2016-08-17,4
2016-08-18,3
2016-08-19,3
2016-08-20,11
2016-08-21,5
2016-08-22,8
2016-08-23,19
2016-08-24,8
2016-08-25,5
2016-08-26,5
2016-08-27,4
2016-08-28,2
2016-08-29,4
2016-08-30,26
2016-08-31,15
2016-09-01,16
2016-09-02,13
2016-09-03,10
2016-09-04,12
2016-09-05,7
2016-09-06,11
2016-09-07,8
2016-09-08,9
2016-09-09,2
2016-09-10,3
2016-09-11,5
2016-09-12,7
2016-09-13,7
2016-09-14,3
2016-09-15,3
2016-09-16,2
2016-09-17,2
2016-09-18,5
2016-09-19,5
2016-09-20,1
2016-09-21,0
2016-09-22,2
2016-09-23,1
2016-09-24,0
2016-09-25,2
2016-09-26,0
2016-09-27,3
2016-09-28,3
2016-09-29,1
