contents,date
"경찰  리베이트 등 의료·의약 비리 석달간 특별단속  /  금품·환자 불법유치·사무장병원 등 구속수사 원칙…지자체 합동단속 

http://www.yonhapnews.co.kr/society/2016/07/31/0701000000AKR20160731052200004.HTML?input=www.twitter.com …",2016-08-01
[맥스무비] 영화정보 - 스킵트레이스: 합동수사 http://m.maxmovie.com/movie/movie_info.asp?m_id=M000097582 …,2016-08-02
성룡 신작 '스킵트레이스: 합동수사'  中 7월 흥행수입 1위 http://fb.me/81rmcghOO ,2016-08-02
내부자들이나 특별수같은 범죄수사물 다 시그널이랑 합동수사 패러디해서 이재한이 다 해결해줘,2016-08-02
"하울링 : 악몽의 도시 
처참하게 살해되는 미녀들  범인을 잡기 위해 결성된 검경 합동수사팀.
 | 상상이 시작되는 곳 Daum 웹툰
 http://webtoon.daum.net/link/view/howling …",2016-08-02
"★성룡의 예측불허 '생'고생 추격 프로젝트 <스킵트레이스: 합동수사> 예매권 이벤트★

'따거가 돌아왔다!'
 
홍콩 경찰 '성룡' X 프로 도박꾼 '조니 녹스 빌'
세상 가장 완벽한 콜라보(?!)... http://fb.me/7vCKm6TVD ",2016-08-02
"보고 싶다....카메라에 찍힌 저 은혜로운 샷 영화에서 볼 수 있겠지....
#연정훈 #스킵트레이스 pic.twitter.com/Px7hK1B2AH",2016-08-02
중국 모바일게임 ver. 윌리랑 실체 윌리 연저씨 싱크로율 99.9%ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ #연정훈 #스킵트레이스 pic.twitter.com/stfY1kIczk,2016-08-02
스포츠 4대악 합동 수사반 개소식,2016-08-03
@이벤트@ 성룡 형님 컴백!! [스킵 트레이스: 합동수사] 예매권 이벤트. (출처 : ★ 무비 J.. | http://blog.naver.com/kaminari2002/220778233370 … 블로그) http://naver.me/FTFjVICl ,2016-08-03
"성룡-연정훈 코믹 액션 어드벤처 <스킵트레이스: 합동수사(绝地逃亡)>  9월 1일 국내 개봉 확정!

http://blog.naver.com/cinemaplus/220777299932 … pic.twitter.com/9DzTUged19",2016-08-03
"예측불허 '생'고생 추격 프로젝트!!
가슴 뻥! 뚫리는‘성룡’표 코믹 액션

긴박감 터지는 <스킵트레이스: 합동수사> 메인 포스터 대공개!
9월 극장가 태풍의 핵으로 떠오르다

#코믹케미작렬... http://fb.me/4VYWikAVL ",2016-08-03
성룡의 새로운 액션 코미디 <스킵트레이스: 합동수사> 예매권 이벤트 개시 http://buff.ly/2aktuCh pic.twitter.com/5jHNSkY0by,2016-08-03
성룡의 최신 액션 코미디 <스킵트레이스: 합동수사> 국내판 포스터 http://buff.ly/2akoxt8 pic.twitter.com/lMLBTwhdFG,2016-08-03
"韓国9/1公開映画『スキップ・トレイス』ジャッキー・チェンメッセージ&予告&ポスター　ファン・ビンビン
영화""스킵트례이스:합동수사""성룡 메시지 예고편&포스터
https://youtu.be/FvUbsBaMXII pic.twitter.com/Wx42DZQsJT",2016-08-03
<스킵트레이스: 합동수사> 예매권 이벤트 http://dvdprime.donga.com/g2/bbs/board.php?bo_table=dpevent&wr_id=25253 …,2016-08-03
[스킵트레이스: 합동수사] 메인 예고편: http://youtu.be/qYxaW_I4BzE?a  (@YouTube),2016-08-04
[스킵트레이스: 합동수사] 따거 성룡! 웰컴백! https://youtu.be/FvUbsBaMXII  @YouTube 님이 공유,2016-08-04
9월에 스킵트레이스라고 레니 할린이 성룡하고 합작한 영화 나온다는데 관람 생각있는지? — 지나 데이비스가 없는 레니 할린은 거름ㅡㅡ http://l.ask.fm/igoto/45DKECN75V62DDAUPY6IQO7Q6GDD7PIIRX66FR5RCD43F55J2RWZGZKIFFBMQRZVKOZP4FQOAYUWOPQT3UY7C65IGTZ3JGBAUUIAPR2ICZXQSK7VB2KC6IF7QKUP5UTXTXXJSBY343NHHGMVJSPAYQR66HBWXZUY2PTVL6DKWHX6AUXIDJXGDZXP5VB2JYXAWJQOC=== …,2016-08-04
"★ 실제상황 <추적 24시 잠복수사> ★

12명의 종업원이 갇혀있는 
한국의 관타나모 수용소 합동신문센터로 가자!

추적자 공개모집!!

이제는 실전이다!!

* 8월 10일~11일 [24시 추적]
*... http://fb.me/126BvTNG6 ",2016-08-05
"<스킵트레이스: 합동수사> 초특급 캐스팅 1탄 판빙빙 편

대륙의 NO.1 팜므파탈이 떴다! 
스킵트레이스의 히로인 사만다 역을 맡은 판빙빙
영화 속 그녀의 팔색조 매력을 지금 바로 확인 하세요!... http://fb.me/XFSihp8o ",2016-08-05
"檢 ""견미리 남편 범행 때 견씨 명의 차명계좌 사용""
서울남부지검 증권범죄합동수사단(단장 서봉규 부장검사)
  http://app.yonhapnews.co.kr/YNA/Basic/SNS/r.aspx?c=AKR20160804124600004 … 
계좌를 줬겠지라는 의심이 들지 
지금까지 몇 번째죠? 견씨?",2016-08-05
영화 #스킵트레이스 합동수사 한국 개봉 포스터 공개! pic.twitter.com/lqkauzf3HN,2016-08-05
점점 유명세 떨치면서 경찰쪽에도 입소문 나면 좋겠다. 사건현장에서 세죠들과도 마주칠때도 있고. 네코마랑 세죠랑 합동수사 하는데 네코마쪽 경감 쿠로오의 부탁으로 특별자문으로 온 카게야마도 좋지요...분위기 묘해지는거 보고싶다 ㅋㅋ,2016-08-05
영화가좋다 - 스킵 트레이스 : 합동수사 - 신작 업데이트 160806: http://youtu.be/1Rvh0DXJxms?a  via @YouTube,2016-08-06
"미프랭클린이 미 전역의 기독교를 향해서 악마숭배 모드를 권장했다
영혼으로 활동시켜서 육으로 들으며 진행시켜온 것이라고 합동영혼들이 수사하다",2016-08-06
문광부 스포츠 4대악 합동수사반 앞에 모인 펜싱인들,2016-08-07
[스킵트레이스: 합동수사] 따거 성룡! 웰컴백! https://youtu.be/FvUbsBaMXII  @YouTube 님이 공유,2016-08-07
DP <스킵트레이스: 합동수사> 예매권 이벤트 - 진행 중 http://dvdprime.donga.com/g2/bbs/board.php?bo_table=dpevent&wr_id=25253 …,2016-08-08
엇 스킵트레이스 보셨나요,2016-08-08
"스킵트레이스 스포)
우리 연저씨 생각보다 비중이 꽤 많이 나옴. 정작 두목님은 먼발치서 명령만 내리고 직접 지휘하는 건 윌리 담당ㅎㅎ대륙여신 판빙빙 끈덕지게 찾아대는 모습에서 민석훈+이지상의 향기가 맡아진다ㅋ pic.twitter.com/K1AmAoUUWC",2016-08-08
<스킵트레이스: 합동수사> 예매권 이벤트 http://dvdprime.donga.com/g2/bbs/board.php?bo_table=dpevent&wr_id=25253 …,2016-08-09
'스포츠 4대악 합동 수사반' 본격 활동 시작,2016-08-09
"우리 고생했어요~♡
'생'고생 커플 성룡X조니 녹스빌

긴박+비장+대작 블록버스터급 스케일 엿보이는 
<스킵트레이스: 합동수사> 보도스틸 12종 대공개!

#스틸만봐도_심장이_바운스바운스 #우리고생했어요... http://fb.me/1g5uB78nT ",2016-08-09
"이연걸-판빙빙-안젤라베이비-양가휘 <봉신연의: 영웅의 귀환>  성룡 <스킵트레이스> 제치고 中 박스오피스 1위 기염! 

http://blog.naver.com/cinemaplus/220781882374 …pic.twitter.com/3cOvpc6dy2",2016-08-09
스킵트레이스:합동수사!좋아하는 성룡씨의 영화!성룡표 코믹액션영화라니 영화개봉소식이 너무나 반가워요.중국의여신 판빙빙도 나오고 러시아 몽골 중국 홍콩 마카오 너무나 고생한 그의 멋진연기!극장에서 보고싶음9월1일 개봉!기다리고 있을게요!극장에서 만나요,2016-08-09
[이벤트] 영화 스킵트레이스 예매권,2016-08-09
예매권이벤트> 성룡의 최신 코믹 액션 영화 스킵트레이스 합동수사  올레 실시간TV 방송VOD 영화 http://blog.naver.com/8585g/220784474799 …,2016-08-10
"성룡의 트레이드마크인 코믹액션의 진수가 기대됩니다
[이벤트] 영화 스킵트레이스 예매권 http://www.ticketmonster.co.kr/talk/380412190/14000000/ …",2016-08-10
"멋진 액션과 코믹한 스토리가 기대되는 영화입니다
[이벤트] 영화 스킵트레이스 예매권 http://www.ticketmonster.co.kr/talk/380412190/14000000/ …",2016-08-10
[티몬 이벤트] 영화 스킵트레이스 예매권 http://www.ticketmonster.co.kr/talk/380412190/14000000?coupon_srl=0 …,2016-08-10
[당첨발표] <스킵트레이스: 합동수사> 메인예고편 예매권 이벤트 http://fb.me/5v81wl0MM ,2016-08-10
경찰이 오는 16  17일 청주 야구장에서 열리는 한화 이글스와 두산 베어스 2연전을 앞두고 암표 거래를 집중 단속한다. 청주 청원경찰서는 형사기동대와 충북지방청 풍속수사팀과 합동단속반을 꾸려 암표... http://fb.me/1uGY0bEBh ,2016-08-10
"[티몬] 
티몬을 추천 합니다.
영화 [스킵트레이스] 예매권 http://www.ticketmonster.co.kr/deal/380412190 
너무 기대되는 영화~",2016-08-10
[이벤트] 영화 스킵트레이스 예매권~~ 성룡의 유쾌한 액션이 정말 기대되고 보고 싶어요!!!,2016-08-10
[스킵 트레이스 합동수사] 따거 성룡과 함께 하는 '생'고생 패키지! 성룡은 역시 맞고 엎어지고 휘둘리면서 싸우는 액션물이 제일 잘 어울려~,2016-08-10
당대 최고의 사기꾼 원이랑 천재 햇병아리 FBI 요원 순이 합동수사 하는 거 보고싶다. 어찌어찌 하다가 순이 원이 카지노에서 사기 치는 거 잡았는데 원한테 자기가 노리고 있는 큰 건 잡게 도와주면 놓아준다고 꼬드겼음 좋겠다. 어뭬리칸헛슬 얘기 맞음,2016-08-10
[이벤트] 영화 스킵트레이스 예매권 http://www.ticketmonster.co.kr/deal/380412190?isHistory=Y …,2016-08-10
"추억의 성룡의 코믹액션이 기대됩니다
[이벤트] 영화 스킵트레이스 예매권 http://www.ticketmonster.co.kr/talk/380412190/14000000?coupon_srl=0 …",2016-08-10
"청주 청원경찰서는 오는 16  17일 청주 야구장에서 열리는 한화 이글스와 두산 베어스 경기의 불법 암표 거래를 집중 단속한다.

청원서는 형사기동대와 지방청 풍속수사팀 등 22명으로 합동 단속반을 꾸려 암표 거래를 단속한다.",2016-08-10
[이벤트] 영화 스킵트레이스 예매권,2016-08-10
"믿고 보는 성룡의 유쾌함이 기대됩니다
[이벤트] 영화 스킵트레이스 예매권 http://www.ticketmonster.co.kr/talk/380412190/14000000/ …",2016-08-10
[이벤트] 영화 스킵트레이스 예매권,2016-08-10
"성룡영화는 가족들과 같이 볼 수 있어서 좋아요
[이벤트] 영화 스킵트레이스 예매권 http://www.ticketmonster.co.kr/talk/380412190/14000000/ …",2016-08-10
<스킵트레이스: 합동수사> 맥스무비 시사회 https://m.maxmovie.com/sisa/sisa_view.asp?idx=53204 …,2016-08-11
[맥스무비] 뜰까?이영화 - 스킵트레이스: 합동수사 영화의 흥행을 예측해 주세요. http://www.maxmovie.com/movie_info/max_boomup_list.asp …,2016-08-11
[이벤트] 영화 스킵트레이스 예매권 http://www.ticketmonster.co.kr/deal/380412190 ,2016-08-11
[이벤트] 영화 스킵트레이스 예매권 ~~ 성룡의 코믹 액션이 정말 기대됩니다!!!,2016-08-11
"★웰컴 따거! 성룡 팬이라면 필참!★
 
어릴 적 취권을 따라해봤다면 당신도 따거의 수제자☞☜
단 한 번의 팬 시사회에 여러분을 초대합니다! (발표 : 8/25)
 
[참여 방법]
<스킵트레이스:... http://fb.me/4Ljb6s5jW ",2016-08-11
성룡 주연 액션 코미디 #스킵트레이스_합동수사 시사회 초대 8월30일 저녁  롯데시네마 월드타워. http://buff.ly/2bhSb71  pic.twitter.com/ShEF9wa4Oi,2016-08-11
[스킵트레이스: 합동수사] 기대평 다이하드 레니할린 감독과 성룡이 뭉친 헐리웃 코믹 액션 영화네요. 불혹의 나이에도 불구하고 재미있는 코믹 액션을 선사하는 성룡 대단하네요. 이번 영화에서 어떤 스토리와 웃음으로 관객들에게 재미를 줄지 정말 궁금합니다.,2016-08-11
[이벤트] 영화 스킵트레이스 예매권,2016-08-11
[이벤트] 영화 스킵트레이스 예매권,2016-08-11
스포츠 4대악 합동 수사반 개소식,2016-08-12
[이벤트] 영화 스킵트레이스 예매권 http://www.ticketmonster.co.kr/deal/380412190 ,2016-08-12
영화 ‘스킵트레이스: 합동수사’  “다시 돌아온 ‘성룡’표 코믹액션” - 시사위크 http://fb.me/7tg8I6ocL ,2016-08-12
"<스킵트레이스: 합동수사> 초특급 캐스팅 2탄 조니 녹스빌 편

할리우드 대표 리얼 액션 배우 <잭애스> 조니 녹스빌 bb
성룡 新 파트너 낙점! 환상의 버디 콤비로 미친 존재감 입증!
성룡X조니... http://fb.me/1x8zV1TKH ",2016-08-12
동영상을 @YouTube 재생목록 http://youtu.be/Z65ArYZOnZg?a  스킵트레이스: 합동수사 (Skiptrace  2016) - 영화 예고에,2016-08-12
[스킵트레이스: 합동수사] 따거 성룡! 웰컴백! https://youtu.be/FvUbsBaMXII  @YouTube 님이 공유,2016-08-12
