Date,Frequancy
2015-11-17,23
2015-11-18,15
2015-11-19,15
2015-11-20,10
2015-11-21,4
2015-11-22,10
2015-11-23,8
2015-11-24,24
2015-11-25,18
2015-11-26,8
2015-11-27,11
2015-11-28,3
2015-11-29,3
2015-11-30,13
2015-12-01,10
2015-12-02,15
2015-12-03,22
2015-12-04,17
2015-12-05,15
2015-12-06,13
2015-12-07,18
2015-12-08,20
2015-12-09,44
2015-12-10,37
2015-12-11,43
2015-12-12,28
2015-12-13,21
2015-12-14,34
2015-12-15,33
2015-12-16,66
2015-12-17,41
2015-12-18,41
2015-12-19,46
2015-12-20,39
2015-12-21,39
2015-12-22,39
2015-12-23,40
2015-12-24,31
2015-12-25,37
2015-12-26,37
2015-12-27,53
2015-12-28,34
2015-12-29,30
2015-12-30,31
2015-12-31,29
2016-01-01,46
2016-01-02,45
2016-01-03,29
2016-01-04,37
2016-01-05,37
2016-01-06,28
2016-01-07,31
2016-01-08,25
2016-01-09,25
2016-01-10,16
2016-01-11,23
2016-01-12,22
2016-01-13,16
2016-01-14,23
2016-01-15,12
