Date,Frequency
2016-07-18,11
2016-07-19,14
2016-07-20,8
2016-07-21,26
2016-07-22,20
2016-07-23,23
2016-07-24,14
2016-07-25,20
2016-07-26,14
2016-07-27,20
2016-07-28,13
2016-07-29,25
2016-07-30,16
2016-07-31,16
2016-08-01,34
2016-08-02,20
2016-08-03,20
2016-08-04,20
2016-08-05,19
2016-08-06,20
2016-08-07,27
2016-08-08,28
2016-08-09,20
2016-08-10,20
2016-08-11,33
2016-08-12,39
2016-08-13,24
2016-08-14,20
2016-08-15,20
2016-08-16,40
2016-08-17,37
2016-08-18,20
2016-08-19,40
2016-08-20,35
2016-08-21,20
2016-08-22,40
2016-08-23,36
2016-08-24,20
2016-08-25,20
2016-08-26,20
2016-08-27,20
2016-08-28,40
2016-08-29,38
2016-08-30,37
2016-08-31,34
2016-09-01,34
2016-09-02,35
2016-09-03,33
2016-09-04,20
2016-09-05,32
2016-09-06,34
2016-09-07,20
2016-09-08,20
2016-09-09,20
2016-09-10,20
2016-09-11,20
2016-09-12,13
2016-09-13,23
2016-09-14,16
2016-09-15,17
