Date,Frequancy
2016-02-16,170
2016-02-17,176
2016-02-18,181
2016-02-19,169
2016-02-20,171
2016-02-21,141
2016-02-22,143
2016-02-23,185
2016-02-24,452
2016-02-25,264
2016-02-26,226
2016-02-27,164
2016-02-28,162
2016-02-29,226
2016-03-01,194
2016-03-02,159
2016-03-03,164
2016-03-04,180
2016-03-05,182
2016-03-06,157
2016-03-07,164
2016-03-08,163
2016-03-09,133
2016-03-10,155
2016-03-11,140
2016-03-12,136
2016-03-13,153
2016-03-14,139
2016-03-15,129
2016-03-16,150
2016-03-17,172
2016-03-18,151
2016-03-19,138
2016-03-20,152
2016-03-21,154
2016-03-22,161
2016-03-23,162
2016-03-24,175
2016-03-25,157
2016-03-26,139
2016-03-27,155
2016-03-28,185
2016-03-29,194
2016-03-30,176
2016-03-31,215
2016-04-01,173
2016-04-02,169
2016-04-03,139
2016-04-04,158
2016-04-05,181
2016-04-06,179
2016-04-07,169
2016-04-08,159
2016-04-09,162
2016-04-10,157
2016-04-11,174
2016-04-12,158
2016-04-13,179
2016-04-14,162
2016-04-15,156
