Date,Frequancy
2015-09-22,0
2015-09-23,0
2015-09-24,1
2015-09-25,0
2015-09-26,0
2015-09-27,0
2015-09-28,0
2015-09-29,0
2015-09-30,0
2015-10-01,0
2015-10-02,0
2015-10-03,0
2015-10-04,0
2015-10-05,1
2015-10-06,2
2015-10-07,1
2015-10-08,1
2015-10-09,1
2015-10-10,0
2015-10-11,0
2015-10-12,3
2015-10-13,3
2015-10-14,1
2015-10-15,1
2015-10-16,2
2015-10-17,2
2015-10-18,0
2015-10-19,2
2015-10-20,2
2015-10-21,1
2015-10-22,3
2015-10-23,5
2015-10-24,2
2015-10-25,0
2015-10-26,0
2015-10-27,1
2015-10-28,2
2015-10-29,0
2015-10-30,0
2015-10-31,0
2015-11-01,0
2015-11-02,0
2015-11-03,0
2015-11-04,0
2015-11-05,0
2015-11-06,0
2015-11-07,0
2015-11-08,0
2015-11-09,0
2015-11-10,0
2015-11-11,0
2015-11-12,0
2015-11-13,0
2015-11-14,0
2015-11-15,0
2015-11-16,1
2015-11-17,0
2015-11-18,0
2015-11-19,0
2015-11-20,0
