contents,date
"10월 개봉 예정작
15일
트랜스포터: 리퓰드 !
더 비지트
라이프
리그레션 !
비밀

22일
더 폰 !
돌연변이 !
특종: 량첸살인기 !
필름시대사랑
슬리핑 위드 아더 피플",2015-09-24
"<COSMO EVENT> 영화 <슬리핑 위드 아더 피플>에 코스모 독자를 초대합니다!

야한 장면 없이 야한  당신이 원하던 바로 그 영화 <슬리핑 위드 아더 피플>이  화끈한 이벤트를 준비했습니다:)... http://fb.me/4Qll81OGo ",2015-10-05
"- [영화] 슬리핑 위드 아더 피플 (10월 8일 까지)
참여하기 > 메가박스(MEGABOX) ( http://evnt.ga/358  )",2015-10-06
"[NYLON event] 영화 <슬리핑 위드 아더 피플> 시사회 EVENT !

야한 장면 없이 야한  나일로니아분들께 추천하는 영화!
<슬리핑 위드 아더 피플>이 준비한 화끈한 이벤트!!
지금 예고편을... http://fb.me/4s1jCdGdO ",2015-10-06
"<슬리핑 위드 아더 피플> 로맨스 사상 가장 발칙한 내숭제로  본능충실 커플 탄생!  

10월 22일 국내 개봉

http://blog.naver.com/cinemaplus/220502591686 … pic.twitter.com/cqfmSkXUmW",2015-10-07
"- [영화] 슬리핑 위드 아더 피플 (10월 11일 까지)
참여하기 > Nylon Korea ( http://evnt.ga/356  )",2015-10-08
"[NYLON event] 영화 <슬리핑 위드 아더 피플> 예매권 EVENT !
그것(?)만은 절대 하지 않는 완벽한‘조건부’절친 두 남녀?!
지금껏 본 적 없는 리얼하고 대담한 로맨스의 신세계 !
핫한... http://fb.me/6QiAf4WEm ",2015-10-09
[NYLON event] 영화 <슬리핑 위드 아더 피플> <챔피언 프로그램> <리그레션> <더 폰>시사회 당첨자  <온리유> 예매권 당첨자 발표 http://fb.me/4xQcONxN4 ,2015-10-12
"알리슨 브리  외모면 외모 연기면 연기 모두 다 된다! 

2015년에만 총 4편 개봉하는 할리우드 대세 여배우! 

<슬리핑 위드 아더 피플>  10월 22일 개봉

http://blog.naver.com/cinemaplus/220506222453 … pic.twitter.com/2zmmNjVhbu",2015-10-12
영화를 보고 사람들과 이야기나누는 것이 참 좋다. 특히 관계나 연애에 대한 영화라면 더욱. 목욜에 GV를 하게 되어 살짝 미리 본 <슬리핑 위드 아더피플>은 섹스를 둘러싼 은밀한 상상을 재치있게 풀어낸 영화. pic.twitter.com/lpHMrISMWu,2015-10-12
