Date,Frequancy
2017-02-06,1
2017-02-07,0
2017-02-08,1
2017-02-09,1
2017-02-10,2
2017-02-11,0
2017-02-12,1
2017-02-13,1
2017-02-14,3
2017-02-15,0
2017-02-16,2
2017-02-17,0
2017-02-18,0
2017-02-19,0
2017-02-20,3
2017-02-21,5
2017-02-22,11
2017-02-23,2
2017-02-24,4
2017-02-25,1
2017-02-26,2
2017-02-27,4
2017-02-28,2
2017-03-01,1
2017-03-02,8
2017-03-03,4
2017-03-04,6
2017-03-05,2
2017-03-06,19
2017-03-07,4
2017-03-08,4
2017-03-09,1
2017-03-10,4
2017-03-11,5
2017-03-12,0
2017-03-13,1
2017-03-14,1
2017-03-15,1
2017-03-16,1
2017-03-17,1
2017-03-18,0
2017-03-19,0
2017-03-20,1
2017-03-21,1
2017-03-22,1
2017-03-23,0
2017-03-24,0
2017-03-25,0
2017-03-26,0
2017-03-27,1
2017-03-28,0
2017-03-29,0
2017-03-30,0
2017-03-31,0
2017-04-01,0
2017-04-02,0
2017-04-03,0
2017-04-04,1
2017-04-05,1
2017-04-06,0
