Date,Frequancy
2015-06-15,32
2015-06-16,1
2015-06-17,4
2015-06-18,3
2015-06-19,1
2015-06-20,1
2015-06-21,2
2015-06-22,3
2015-06-23,5
2015-06-24,2
2015-06-25,6
2015-06-26,1
2015-06-27,2
2015-06-28,1
2015-06-29,2
2015-06-30,4
2015-07-01,4
2015-07-02,3
2015-07-03,2
2015-07-04,1
2015-07-05,6
2015-07-06,4
2015-07-07,1
2015-07-08,41
2015-07-09,39
2015-07-10,61
2015-07-11,39
2015-07-12,45
2015-07-13,37
2015-07-14,10
2015-07-15,8
2015-07-16,14
2015-07-17,6
2015-07-18,5
2015-07-19,1
2015-07-20,8
2015-07-21,6
2015-07-22,4
2015-07-23,2
2015-07-24,1
2015-07-25,0
2015-07-26,1
2015-07-27,2
2015-07-28,6
2015-07-29,1
2015-07-30,1
2015-07-31,2
2015-08-01,0
2015-08-02,0
2015-08-03,1
2015-08-04,1
2015-08-05,2
2015-08-06,0
2015-08-07,1
2015-08-08,0
2015-08-09,0
2015-08-10,1
2015-08-11,0
2015-08-12,0
2015-08-13,1
