Date,Frequancy
2015-07-28,4
2015-07-29,3
2015-07-30,7
2015-07-31,10
2015-08-01,6
2015-08-02,7
2015-08-03,3
2015-08-04,9
2015-08-05,12
2015-08-06,6
2015-08-07,4
2015-08-08,5
2015-08-09,5
2015-08-10,15
2015-08-11,15
2015-08-12,12
2015-08-13,9
2015-08-14,4
2015-08-15,20
2015-08-16,12
2015-08-17,18
2015-08-18,19
2015-08-19,23
2015-08-20,24
2015-08-21,23
2015-08-22,16
2015-08-23,20
2015-08-24,28
2015-08-25,22
2015-08-26,27
2015-08-27,37
2015-08-28,38
2015-08-29,34
2015-08-30,36
2015-08-31,41
2015-09-01,29
2015-09-02,35
2015-09-03,31
2015-09-04,26
2015-09-05,12
2015-09-06,12
2015-09-07,7
2015-09-08,16
2015-09-09,4
2015-09-10,4
2015-09-11,4
2015-09-12,3
2015-09-13,3
2015-09-14,1
2015-09-15,3
2015-09-16,1
2015-09-17,0
2015-09-18,1
2015-09-19,0
2015-09-20,2
2015-09-21,0
2015-09-22,0
2015-09-23,1
2015-09-24,3
2015-09-25,1
