contents,date
＜아메리칸 울트라＞ 역대급 비정상 스파이 탄생 예매권 이벤트! http://tvpot.daum.net/v/v2fd8hUusceUX4shsevpZQs …,2015-07-28
제시 아이젠버그  크리스틴 스튜어트의 <아메리칸 울트라> 티저 포스터 4종  액션 영상 공개. http://buff.ly/1SaX8Og pic.twitter.com/AWxYcKNwjt,2015-07-28
아메리칸 울트라 새 포스터들!ㅋㅋ홍보를 공들여 해주는거 같아서 기쁘다ㅋㄱㅋㄱㄱ이 포스터들 넘 맘에드네ㅋㅋㅋ pic.twitter.com/0egzOPZxe6,2015-07-28
[꿀팁] 8월  개봉 예정작 리스트 '10' 나갑니다~.  베테랑  협녀  뷰티인사이드  미쓰와이프  성실한 나라의 앨리스  퇴마:무녀굴  더포저  아메리칸울트라  어느하녀의일기  미라클벨리에!!!! http://fb.me/G4aolD9C ,2015-07-28
8.27 아메리칸 울트라 개봉,2015-07-29
아메리칸 울트라,2015-07-29
[아메리칸 울트라] 티저 예고편 - #withgom http://gom.dj/IFN9 ,2015-07-29
@gheorgh 아메리칸 울트라,2015-07-30
아메리칸 울트라 예고편보다가 눈치챘는데  너구리.... pic.twitter.com/kJMK6jFIbM,2015-07-30
헐 아메리칸울트라 예고편 제시 멋져....,2015-07-30
<아메리칸 울트라> 무삭제 액션 예고편 http://buff.ly/1IMIx7q pic.twitter.com/R0jgqHSEXs,2015-07-30
제시 아이젠버그의 코믹 액션 <아메리칸 울트라> 한글 자막 최신 예고편 http://buff.ly/1MuHqJ2 pic.twitter.com/JeL8l9yOzP,2015-07-30
소셜 네트워크 이후 리오 앵무를 제외하면 망작콜렉터로 활약하던 제시 아이젠버그가 나이트무브-더블-엔드 오브 더 투어로 이어지는 좋은 영화 3연타에 렉스 루터  아메리칸 울트라처럼 정신나간 것도 많이하니 좋군 pic.twitter.com/SWmOPB5lY9,2015-07-30
@trinketbox7 진짜 생각하면 속터지네요ㅠㅠ 제시 아이젠버그 주연의 슈퍼스파이 영화 아메리칸 울트라는 미쿡개봉일(8-21)이랑 비교해 겨우 6일차이(27일)로 국내개봉하는데 맨프롬엉클은 10월 ㅋㅋㅋ,2015-07-30
