Date,Frequancy
2017-03-13,9
2017-03-14,11
2017-03-15,14
2017-03-16,18
2017-03-17,13
2017-03-18,16
2017-03-19,7
2017-03-20,13
2017-03-21,7
2017-03-22,18
2017-03-23,14
2017-03-24,20
2017-03-25,22
2017-03-26,12
2017-03-27,19
2017-03-28,19
2017-03-29,25
2017-03-30,24
2017-03-31,18
2017-04-01,27
2017-04-02,25
2017-04-03,18
2017-04-04,17
2017-04-05,34
2017-04-06,30
2017-04-07,26
2017-04-08,17
2017-04-09,21
2017-04-10,48
2017-04-11,38
2017-04-12,35
2017-04-13,39
2017-04-14,31
2017-04-15,33
2017-04-16,27
2017-04-17,20
2017-04-18,24
2017-04-19,31
2017-04-20,28
2017-04-21,19
2017-04-22,23
2017-04-23,20
2017-04-24,23
2017-04-25,32
2017-04-26,20
2017-04-27,16
2017-04-28,19
2017-04-29,19
2017-04-30,29
2017-05-01,17
2017-05-02,14
2017-05-03,19
2017-05-04,10
2017-05-05,12
2017-05-06,12
2017-05-07,19
2017-05-08,31
2017-05-09,22
2017-05-10,16
2017-05-11,12
