contents,date
뒤집어지는 코미디 ‘아빠는 딸’ 윤제문 정소민  화이트데이 기념 메시지 공개 / 브레이크뉴스  http://www.breaknews.com/497841 ,2017-03-13
안니 딸랑구한테 잘못가르쳐조버렷서 저 괄호속아빠는 누군데 댗체  허이잉... 구치만 제가 이만쿰 사랑을 받고있는건<근자감) 랜선귀척과 다정함때무니아닐까...(오들)(그런거업ㅅ음) 질투니써? 구래두 먀님냐밈한테 채고다정해,2017-03-13
집안 뒤집어지거나 말거나 이미 돌아간 엄마를 그리며 아빠와 열심히 살고 있던 햄은 어느 날 들이닥친 무시무시한 사람들에게 끌려간다. 그 때 아빠는 출장 중이었고.. 무튼 햄네 외가는 다 안 되니까 찾고 찾다가 가출해버린 큰집의 딸에게 손을 뻗는데,2017-03-13
그리고 선반같은 납골대? 같은게 있고 전부 식구별로 납골함 둘 위치가 정해져 있는데 당연히 제 자리도 없고 급기야 울어버렸더랬죠. 아빠는 서러워 우는 질풍노도 시기의 딸에게 '여자는 시집가면 남의 집 식구가 되니까 없는거야',2017-03-13
"오늘의 한국어 

''아빠는 초능력자'
''딸은 명연기자' http://fb.me/1gIv0ckNX ",2017-03-13
2.아빠는 딸을 위해 선물을 준비하기로 했답니다. pic.twitter.com/mbq9U8BTpj,2017-03-13
딸의 춤 상대는 주로 동생  시구레  엄마. 아빠는 어릴 때 빼고는 바빠서...ㅠㅠ...페어베르크  홍매국과 활발한 교류. 기타 등등 뭐 있었는데 기억이 안 나넹...,2017-03-13
"아빠는 먼가 조금 뒤에서 지켜보는 느낌이엇ㅅ고   약간 머랄까 ""너냐..? 우리딸 개롭히는 새기가?"" (못마땅) 이 표정으로 느껴짐ㅋㅋㅋㅋㅋㅋ 엄마는 똑같이 살갑게 ""우리딸 잘하고 있죠~? ^^"" 함ㅋㅋㅋㅋㅋㅋ 아 너무 재밌었다!!",2017-03-13
"내가 한창 반항 안하고 말 잘듣던 시절 아빠는 나에게만 잘해주면서 v딸바보v 라는 호칭을 들으며 ""딸을 이렇게 사랑하는 나""에 꽤 취해있었던 것 같은데 내가 좀 크고 말 안듣고 호불호가 생기며 의사표현을 하기 시작하니까 그렇게 나에게 적대감을 드러내던",2017-03-13
아빠는 딸은 좋아한다만  딸이 나를 미워 한 다면 나도 딸을 미워 할 거다.,2017-03-14
[더코리아뉴스] 배순민 기자 = 아빠는 딸  봄내음 물씬 풍기는 윤제문X정소민 부녀의 화이트데이 메시지 공개 http://thekoreanews.com//detail.php?number=39359 …,2017-03-14
하루 아침에 아빠와 딸의 몸이 바뀌면서 벌어지는 코미디 영화 아빠는 딸 (Daddy You  Daughter Me  2017) 화이트데이 영상 (White Day Video) https://youtu.be/CENPR0FBy74 ,2017-03-14
