Date,Frequancy
2017-02-20,0
2017-02-21,0
2017-02-22,0
2017-02-23,0
2017-02-24,0
2017-02-25,0
2017-02-26,0
2017-02-27,0
2017-02-28,1
2017-03-01,0
2017-03-02,2
2017-03-03,0
2017-03-04,0
2017-03-05,5
2017-03-06,21
2017-03-07,3
2017-03-08,2
2017-03-09,7
2017-03-10,4
2017-03-11,23
2017-03-12,4
2017-03-13,6
2017-03-14,18
2017-03-15,9
2017-03-16,0
2017-03-17,2
2017-03-18,0
2017-03-19,1
2017-03-20,1
2017-03-21,2
2017-03-22,8
2017-03-23,2
2017-03-24,0
2017-03-25,0
2017-03-26,0
2017-03-27,2
2017-03-28,0
2017-03-29,2
2017-03-30,1
2017-03-31,0
2017-04-01,0
2017-04-02,0
2017-04-03,2
2017-04-04,0
2017-04-05,0
2017-04-06,0
2017-04-07,0
2017-04-08,0
2017-04-09,1
2017-04-10,0
2017-04-11,0
2017-04-12,0
2017-04-13,0
2017-04-14,0
2017-04-15,0
2017-04-16,0
2017-04-17,0
2017-04-18,0
2017-04-19,0
2017-04-20,0
