Date,Frequancy
2016-08-22,0
2016-08-23,3
2016-08-24,2
2016-08-25,6
2016-08-26,6
2016-08-27,1
2016-08-28,0
2016-08-29,8
2016-08-30,8
2016-08-31,7
2016-09-01,8
2016-09-02,11
2016-09-03,6
2016-09-04,3
2016-09-05,4
2016-09-06,10
2016-09-07,10
2016-09-08,10
2016-09-09,10
2016-09-10,13
2016-09-11,21
2016-09-12,9
2016-09-13,13
2016-09-14,13
2016-09-15,13
2016-09-16,17
2016-09-17,22
2016-09-18,12
2016-09-19,11
2016-09-20,14
2016-09-21,39
2016-09-22,36
2016-09-23,32
2016-09-24,37
2016-09-25,37
2016-09-26,32
2016-09-27,39
2016-09-28,32
2016-09-29,20
2016-09-30,18
2016-10-01,15
2016-10-02,16
2016-10-03,23
2016-10-04,12
2016-10-05,6
2016-10-06,3
2016-10-07,6
2016-10-08,5
2016-10-09,2
2016-10-10,4
2016-10-11,4
2016-10-12,6
2016-10-13,3
2016-10-14,3
2016-10-15,8
2016-10-16,2
2016-10-17,4
2016-10-18,3
2016-10-19,1
2016-10-20,1
