contents,date
【IA】아이엠어 히어로【오리지널PV】 (4:47) #sm24137012 http://nico.ms/sm24137012?cp_webto=share_tw-spweb … #sakuraba,2016-08-23
미친 아이엠어히어로 극장판이라니,2016-08-23
아이엠어히어로 원작만화 일부만 봤는데 상당히 컬트적이던. 취향을 심하게 탈거 같지만 몰입감이랑 위압감은 장난아니었다 좀 이키가미같은 느낌. 난 보기가 괴로웠는데 좀비물  그로 인한 딜레마적인 상황 이런거 좋아하는 분들은 재밌게 보실거 같다,2016-08-23
일본판 좀비 영화 '아이 엠 어 히어로' 국내 개봉 확정 http://i.wik.im/272152  #아이엠어히어로 pic.twitter.com/c23hGTJSlk,2016-08-24
"9/22韓国公開　日本映画『アイアムアヒーロー』韓国版ポスター
9월22일 공개 일본영화 ""아이 엠 어 히어로""포스터 pic.twitter.com/B0O1cYDulr",2016-08-24
아이엠어히어로에 레이튼교수 성우하고 이쁜 아리무라 카스미쨩 나온다 헛헛,2016-08-25
헐 아이 엠 어 히어로 실사 영화로 나오는 건가 ..?,2016-08-25
9월22일 공개 일본영화 「아이 엠 어 히어로」포스터 pic.twitter.com/tbBFSlSREv,2016-08-25
아이엠어히어로 영화로 나오는 줄도 몰랐네,2016-08-25
【IA】아이엠어 히어로【오리지널PV】 (4:47) #sm24137012 http://nico.ms/sm24137012?cp_webto=share_tw-spweb … #sakuraba,2016-08-25
[아이 엠 어 히어로] 티저 예고편: http://youtu.be/MljbjXkP-2o?a  (@YouTube),2016-08-25
【IA】아이엠어 히어로【오리지널PV】 (4:47) #sm24137012 http://nico.ms/sm24137012?cp_webto=share_tw-spweb … #sakuraba,2016-08-26
아이엠어히어로 만화책 꿀잼,2016-08-26
아이 엠 어 히어로 영화화 되는구나,2016-08-26
[더 코리아뉴스] 배순민 기자 = 아이 엠 어 히어로  충격과 전율 확인할수 있는 스틸 공개  http://thekoreanews.com//detail.php?number=33341 …,2016-08-26
헉 아이엠어히어로 영화로도 나왔었구나....만화도 재밌었는데 다음권 나올때까지 기다리다 어느순간 어디까지 봤는지 까먹어버림. 나중에 다시 봐야지... pic.twitter.com/fqGgG5bivq,2016-08-26
"세계 3대 판타스틱 영화제 5관왕 화제작 <아이 엠 어 히어로>  9월 22일 국내 개봉 확정!

http://blog.naver.com/cinemaplus/220797047398 … pic.twitter.com/LzVQxENL2y",2016-08-26
영화 광고 때 아이 엠 어 히어로인가 그거 사람들 반응 쩔엇음 꼭 봐야지,2016-08-27
[아이 엠 어 히어로] 일본 좀비영화 아이 엠 어 히어로의 일본 전단지입니다. ^^ (출처 :  괴수의왕 .. | http://blog.naver.com/artgihun/220800017281 … 블로그) http://naver.me/58POpIvm ,2016-08-29
9월 네째 주 개봉작들 중에서는 불량소녀  너를 응원해!  아이 엠 어 히어로  더 울프팩  나홀로 휴가  대결  연인과 독재자에 관심이 간다. 꼭 보겠다는 작품은 없다.,2016-08-29
헉  이번에 일본 공포 2개나 개봉하네여   !! 저는 아이 엠 어 히어로 예고편 오늘 봣는데 막 몸 꺾이고 ㅠ 그래가지고 아 저게 일본 감성인가     핵무섭다     햇었는데 저것도    무서울 거 같아여 ,2016-08-29
ㅋㅋ맞아여 불 끄면 귀신 나오는 거 ㅋㅋㅋㅋㅋ 그 일본    바이러스 생겨서 막 그거 아녜여   ? 아이 엠 어 히어로인가 ? 오늘 예고편 보여주는 거에서 봣는데 ㅋㅋㅋㅋ 넘 헤엑 햇어옄ㅋㅋㅋㅋ 너무 기괴   ,2016-08-29
최근에 만화를 읽고 있어요. 아이엠 어 히어로랑 골든 카무이. 둘 다 좋아요 https://twitter.com/Kanako_tktk/status/770136237982244864 …,2016-08-29
9월엔 기대작들이 많지만 ...아이 엠 어 히어로 (출처 : 네이버 통합검색) http://naver.me/FYx8Llv8   솔직히 부산행보다 나을것 같다는 느낌이 많이 듭니다. 아이 엠 어 히어로.,2016-08-29
아이엠어히어로 보고 군대 가야지,2016-08-29
"[NYLON event] 영화  <아이 엠 어 히어로> 개봉기념 GV 시사회 이벤트

<#부산행> 좀비의 모티브가 된 만화원작.
<#아이엠어히어로> 개봉기념 GV 시사회 이벤트!

전 세계가 인정한... http://fb.me/63TxkDBMR ",2016-08-29
"[#시사회이벤트] #아이엠어히어로
_
<#부산행> <#서울역> 이전에 이 영화가 있었다!
부산행 #좀비 모티브가 된 아시아 최고의 좀비 만화 <아이 엠 어 히어로> #연상호… https://www.instagram.com/p/BJvREDeBM1d/ ",2016-08-30
아이엠 어 히어로 ..,2016-08-30
9월 22일에 개봉하는 일본 만화원작 영화 '아이엠 어 히어로' 이거 좀비물이라던데 재밌었음 좋겠다 보러가야지 흐흫,2016-08-30
"통제불능 좀비 바이러스! [아이 엠 어 히어로] 스틸 10종 공개 http://magazine2.movie.daum.net/movie/35275  

우앙!!좀비!!!!♡",2016-08-30
아이 엠 어 히어로_티저 예고편_PLAYY https://youtu.be/XkQiFNv2dQg  으잉... 티저 보니까 쇼핑몰 편까지 다루나 보네. 하긴 한국 폐쇼핑몰 쪽에서 찍었다고 했던가. 근데 거기까지 영화 한 편에서 다룰 수 있으려나,2016-08-30
사상최악의 좀비 바이러스가 창궐하는 영화 <아이 엠 어 히어로> 9월 국내 개봉 확정! 티저 예고편_PLAY http://youtu.be/XkQiFNv2dQg  원작 만화 19권도 9월에 발매됩니다! pic.twitter.com/YUSNTggk7C,2016-08-30
"<‘부산행’에 이어 일본 좀비영화 ‘아이 엠 어 히어로’ 9월 개봉>
http://www.interview365.com/news/75322  http://fb.me/6dYl8EaS0 ",2016-08-30
"아뮤즈소속 오오이즈미요 주연 영화[아이 엠 어 히어로] 9월 대개봉!!

http://tvcast.naver.com/v/1072236  http://fb.me/8aqhobFoG ",2016-08-30
"오오이즈미요 주연 [아이엠어히어로] 9월 22일 개봉!
<이거 첫 장면부터 충격적이다! 차원이 다른 좀비 영화가 나왔음 ㄷㄷ
전 세계 600만부 판매 만화 원작> http://fb.me/8cGs4tMDF ",2016-08-31
<아이 엠 어 히어로> 주인공 책장을 보면 <호문쿨루스>가 있던데 주인공의 정신병이나 좀비에 대한 외견 묘사  만화 자체에 대한 연출을 보면 <호문쿨루스>와 어느정도 흡사하다.,2016-08-31
<아이 엠 어 히어로> 영화 때문에 코믹스를 보고 있는데 한 사회의 좀비 감염 묘사가 너무나도 리얼해서 소름이 쫙 돋는다. 으으으 너무 무서워...,2016-08-31
이럴줄알았엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋ아이엠히어로 올줄았았엌ㅋㅋㅋㅋㅋㅋ,2016-08-31
헉 아이엠어히어로 9월 22일에 영화 개봉하네 ㄷㄷ,2016-08-31
"이번엔 일본!

아이 엠 어 히어로 만화책으로 한참 보던건데..
영화 나오네요.. ㅎ http://fb.me/5BGhlM7Eb ",2016-08-31
[ #Tistory ] 아이 엠 어 히어로 (アイアムアヒーロー  I am a Hero  2015) http://ngroovy.tistory.com/659 ,2016-08-31
"<아이 엠 어 히어로> 메인 예고편
http://tvcast.naver.com/v/1088186?openType=nmp …",2016-09-01
아이엠어히어로 영화로나왓네 ㅋㅋ,2016-09-01
【IA】아이엠어 히어로【오리지널PV】 (4:47) #sm24137012 http://nico.ms/sm24137012?cp_webto=share_tw-spweb … #sakuraba,2016-09-01
"아이엠 어 히어로에서 어떤놈이 ""이제 슬 무리!!!""
하면서 ""베이컨 여기 두고갈게!! 그럼 이따봐!!"" 하면서 다리에서 뛰어내리던데 뭔가 멋졌다. ㅋㅋㅋ",2016-09-01
아이엠어 히어로 한번 봐야겠다,2016-09-01
아이 엠 어 히어로 익스 ㅇㅏㅇ 왜틀림 진짜 농노트 왜 뗐음 pic.twitter.com/vS76QjEtZP,2016-09-01
"-[영화] 아이 엠 어 히어로 (09월 04일 까지)
참여하기 > Nylon Korea ( http://evnt.ga/2783  )",2016-09-01
[아이 엠 어 히어로] 메인 예고편: http://youtu.be/Ss1aBtffKZo?a  via @YouTube,2016-09-01
아이 엠 더 히어로 완전 노관심이었는데  마사미분 나오는 거 알고 매우 보고싶어짐,2016-09-02
한번씩 쳐서 돌만 빼내고 다시 아이엠어히어로 쳐야지,2016-09-02
영화개봉도 있고 오랜만에 아이엠어히어로 보는데 개꿀잼ㅋㅋ,2016-09-02
와 미친 아이엠어 히어로가 영화로 나온다고? 거기에 한국에도ㅛ 개봉? 미쳤다,2016-09-02
아이 엠 어 히어로 노래 존좋,2016-09-02
