Date,Frequency
2017-05-09,20
2017-05-10,20
2017-05-11,35
2017-05-12,39
2017-05-13,20
2017-05-14,33
2017-05-15,35
2017-05-16,20
2017-05-17,40
2017-05-18,20
2017-05-19,20
2017-05-20,25
2017-05-21,20
2017-05-22,39
2017-05-23,20
2017-05-24,20
2017-05-25,20
2017-05-26,20
2017-05-27,39
2017-05-28,20
2017-05-29,37
2017-05-30,20
2017-05-31,20
2017-06-01,20
2017-06-02,20
2017-06-03,20
2017-06-04,20
2017-06-05,20
2017-06-06,20
2017-06-07,20
2017-06-08,53
2017-06-09,20
2017-06-10,20
2017-06-11,20
2017-06-12,20
2017-06-13,34
2017-06-14,40
2017-06-15,20
2017-06-16,20
2017-06-17,40
2017-06-18,40
2017-06-19,20
2017-06-20,37
2017-06-21,20
2017-06-22,20
2017-06-23,37
2017-06-24,34
2017-06-25,20
2017-06-26,20
2017-06-27,20
2017-06-28,20
2017-06-29,20
2017-06-30,20
2017-07-01,20
2017-07-02,36
2017-07-03,20
2017-07-04,30
2017-07-05,20
2017-07-06,20
2017-07-07,40
