Date,Frequancy
2015-06-22,58
2015-06-23,48
2015-06-24,43
2015-06-25,40
2015-06-26,42
2015-06-27,39
2015-06-28,40
2015-06-29,43
2015-06-30,43
2015-07-01,57
2015-07-02,41
2015-07-03,76
2015-07-04,45
2015-07-05,44
2015-07-06,83
2015-07-07,70
2015-07-08,74
2015-07-09,43
2015-07-10,49
2015-07-11,44
2015-07-12,41
2015-07-13,79
2015-07-14,58
2015-07-15,75
2015-07-16,38
2015-07-17,39
2015-07-18,74
2015-07-19,42
2015-07-20,53
2015-07-21,44
2015-07-22,40
2015-07-23,60
2015-07-24,80
2015-07-25,85
2015-07-26,56
2015-07-27,59
2015-07-28,97
2015-07-29,98
2015-07-30,75
2015-07-31,81
2015-08-01,66
2015-08-02,85
2015-08-03,84
2015-08-04,89
2015-08-05,65
2015-08-06,98
2015-08-07,58
2015-08-08,60
2015-08-09,84
2015-08-10,57
2015-08-11,40
2015-08-12,92
2015-08-13,79
2015-08-14,57
2015-08-15,95
2015-08-16,64
2015-08-17,74
2015-08-18,66
2015-08-19,56
2015-08-20,55
