contents,date
[데일리메일] [데일리메일]‘암살’전지현 이정재 하정우 트리오 ‘좋은놈 나쁜놈 이상한놈’ 뛰어넘기 http://www.dailymail.kr/news/article.html?no=21998 …,2015-06-22
암살 : 네이버영화 http://me2.do/xGa2Kb87  출처 : 네이버 영화,2015-06-22
암살 제작보고회 정재 오빠 사진 https://m.facebook.com/story.php?story_fbid=872429626167482&id=255917847818666&refid=17&_ft_=top_level_post_id.872429626167482&__tn__=%2As …pic.twitter.com/K6iX0le2ES,2015-06-22
암살 메인 예고편 http://m.movie.naver.com/m/endpage/movie/MultimediaDetail.nhn?movieCode=121048&multimediaId=27446 …pic.twitter.com/UcrLlGVMat,2015-06-22
2015 영화 암살 메인 예고편 https://youtu.be/LllIFYytkfs  @YouTube 님이 공유,2015-06-22
"암살 하정우  父 김용건이 맞선 제의 해…""집장만 해놨다""   http://ift.tt/1daVybY ",2015-06-22
<암살> 메인 예고편 http://me2.do/GBbAyu60  출처 : 네이버 영화 | 네이버 TV캐스트,2015-06-22
"[매거진] 은신과 암살의 개성은 그대로  플레이 가능성은 보다 다양하게!
플랜 디코이를 통해 탈바꿈하는 시바 포의 모습을 공개합니다. http://cyphers.nexon.com/cyphers/article/magazine/topic/19619582 … pic.twitter.com/j8lEqRT6jh",2015-06-22
"이정재 ""'암살'위해 2일 無수면+15kg 감량"" #이정재 http://fb.me/1GMa76pVw ",2015-06-22
"‘암살’ 전지현 “총 쏘며 스트레스 풀어”
http://me2.do/FoCgWAtV pic.twitter.com/4nhUPCjzsK",2015-06-22
암살 (Assassination  2015) 메인 예고편 (Main Trailer) https://youtu.be/KnjGzHA-P2A  via @YouTube,2015-06-22
"암살교실 일일카페 수요조사합니다~

협력분/코스스탭모집예정입니다~

본 행사는 중부권예정입니다.:)

손님혹은스탭으로오실분은 별을찍어주세요~ 메르스때문에걱정이신분들은 손세정제준비예정이며  알티는 감사합니다~ 관심 있으신분의 팔로우도환영합니다~",2015-06-22
[#하정우] '암살' 하와이 피스톨 하정우  알고 보면 클라라의 이상형? http://goo.gl/AgxvHf  #하정우 #클라라 #암살 #아주경제pic.twitter.com/GOWOm5V0k2,2015-06-22
[더스타] [포토] 영화 '암살' 제작보고회 참석한 배우들 http://bit.ly/1TGYIG7 ,2015-06-22
영화 ‘암살’ 1933년 친일파 암살작전 주역들‘ http://www.asiatoday.co.kr/view.php?key=20150622010013410 …,2015-06-22
[더스타] [포토] '암살' 하정우  앉아있을 뿐인데…남다른 아우라 발산 http://bit.ly/1Leg6OQ ,2015-06-22
[#아름다운나의신부] 3회 예고 UDT 암살시범조?! 은행원 김무열의 정체는? http://me2.do/5f90nbPh  출처 : 아름다운 나의신부 | 네이버 TV캐스트,2015-06-22
암살 하정우  열애설 “공효진과 사촌관계?”…누리꾼들 “진실은?” http://www.sisaweek.com/news/articleView.html?idxno=46117 …,2015-06-22
`암살` 하정우 `작년 부산국제영화제  감독님과 횟집서 은밀히 만나`  @stoodotcom http://me2.do/FA7Z5dnA pic.twitter.com/VI31sK0djF,2015-06-22
`암살` 전지현 `여배우 중심 영화 드물어  더욱 영광`  @stoodotcom http://me2.do/FyYX19SY pic.twitter.com/Dm43rmgNdu,2015-06-22
[데일리메일] [데일리메일]‘암살’전지현 이정재 하정우 트리오 ‘좋은놈 나쁜놈 이상한놈’ 뛰어넘기 http://www.dailymail.kr/news/article.html?no=21998 …,2015-06-22
전에 드림버스라는거 알티된거 봤었는데 스벜 드림버스 보고싶다.. 뭐였나 정확하는 기억 안나지만 윈솔인 버키가 꿈에서 멸팁을 보면서 스티브를 계속 그리워하는거... 정작 캡틴아메리카 암살명령을 받아서 매일같이 죽이려고 드는데 동일인물인걸 모르는거,2015-06-22
미친것들 RT @hyundaenews: [주간현대] 주일대사관 홈페이지 친일 표현 파문...안중근 의사  이토 ‘암살’ 여기가 일본 극우 사이트?  http://www.hyundaenews.com/sub_read.html?uid=13941 …,2015-06-22
"[더스타] '암살' 이정재 ""48시간 무수면-15Kg 감량…제 자신을 벼랑까지 몰고갔다"" http://bit.ly/1Gh2HQf ",2015-06-22
[한글화] 암살교실 약빨은 2번째 오프닝 애니맥스의 한글화 영상!! http://tvple.com/319476  (#tvple),2015-06-22
[더 코리아뉴스] 배순민 기자 = 22일 서울시 강남구 압구정CGV에서 영화 '암살'의 제작보고회가 열렸다.... http://thekoreanews.com//detail.php?number=6841 …,2015-06-22
#도화선 #독립운동가 임치정 [1880~1932] 1905 공립협회 조직 1907 신민회 주도  1911 데라우치총독 암살 음모 조작사건으로 옥고  1920 임시정부 연통제 참사로 독립투쟁 http://twitpic.com/cgb324 ,2015-06-22
"SHINee / 소녀시대 / D.pix / 암살교실 / 헬싱 / 은위 / DOLL 
난이도 빡셈 고려하여 맞추면 스벅커피 쏨
 #각_장르의_최애를_맞추면_소원_한개",2015-06-22
<암살> <배테랑> <협녀  칼의기억> 올 여름 대작들 열풍이구만.. http://me2.do/5RkyMWB1 ,2015-06-22
"‘암살’ 감독 “제작비 180억원…무서워 잠도 잘 못 잤다”
http://sports.donga.com/Enter/3/02/20150622/72039453/2 …",2015-06-22
영화 ▲암살▲ 제작보고회 전지현이정재 하정우 조진웅 등 http://me2.do/5AMJqMgC  출처 : ★ 무비 J.. | 네이버 블로그,2015-06-22
[무비ON] 7~8월 극장가  '암살' '베테랑' '협녀' '뷰티 인사이드' 4파전 예고 http://fb.me/56jFAzKB6 ,2015-06-22
‘암살’ 이정재 “평소보다 15kg 감량  63kg 상태로 촬영했다” http://bit.ly/1dYVxZj pic.twitter.com/xfHHm2dpd3,2015-06-22
‘암살’ 하정우 “최동훈 감독과 장어 덮밥 먹고 출연 얘기했다” http://bit.ly/1dYUatL pic.twitter.com/7L17PtVBNg,2015-06-22
"'암살' 독립군 저격수 전지현   클래식한 수트 ""어디꺼?"" http://zine.istyle24.com/Star/StarView.aspx?Idx=22957&Menu=3&_C_=24038 …pic.twitter.com/JqK9bPvKK3",2015-06-22
7월   22일     암살 보러가기      pic.twitter.com/x2RU3AelSN,2015-06-22
#도화선 #독립운동가 유동열 [1879~1950] 비밀결사 효충회를 결성하여 친일파 대신의 암살을 계획  105인 사건에 연루되어 징역 10년을 선고받고 1년 6개월간의 옥고  광복군 창설 후 참모총장 http://twitpic.com/cgjzj8 ,2015-06-22
"오늘자 <암살> 배우들의 자태.jpg

우리 쇼친들의 심장도.. 곧..
쇼미처럼 남아나질 않겠죠? 하악 *.*

#암살_7월22일 #전지현 #이정재 #하정우
#조진웅 #최덕문 #최동훈감독 #제작보고회",2015-06-22
"쿠누기가오카 중학교의 암살교실에 다니고 있는 시오타 나기사라고 해 보는 대로 암살자야 아하하... 뭔가 당당한 것 같지만 잘 부탁할게
#트친소_RT_선팔 pic.twitter.com/eXE7FdUwkx",2015-06-22
명성황후 암살에 대해 일본의 사죄는 아직도 없었다. 왕실과 수상은 무릅꿇고 진정성 있는 사과를 보여라! 한국내 친일파들이 이런 더러운 인간들과 교류를 하고 있다. 사과없는 교류는 범죄행위로 규정한다. 관련자 전원은 반드시 참수를 해야겠다.,2015-06-22
"이번 플랜디코이로 시바유저들은 2가지플레이를할것같은데요
극도로시야를확장시켜 오한범위를 늘려 적들을 압박하는플레이와 
시야를 최소화해 오한범위를줄여 발각범위를최소화해서 적암살을 쉽게하는플레이로 방식이 나뉠것같네요",2015-06-22
영화 '암살' 예고편에 저 살짝 나오는데 눈치 채셨나요^^,2015-06-22
‘암살’ 하정우  오달수에 애정가득 “선배님과 첫 작업..이상하게 편해” http://tenasia.hankyung.com/archives/565388 pic.twitter.com/p9ohboVEf6,2015-06-22
"[Spot] '암살' 이정재  극한의 다이어트 ""역할을 잘할 것 같았다"" http://www.getitk.com/?p=67210  #이정재 #전지현 #암살 #겟잇케이pic.twitter.com/fDOm9GcgDl",2015-06-22
쇼박스 페이스북에 암살 제작보고회 현장 사진이 올라왔네요 :) https://goo.gl/kt20LL  pic.twitter.com/76qXqd1N5A,2015-06-22
‘암살’ 하정우  “최동훈 감독 제안에 주저없이 승낙. 자신감 있었다” http://tenasia.hankyung.com/archives/565282 pic.twitter.com/2koqXYHHJ2,2015-06-22
‘암살’ 이정재  “영화 위해 15kg 감량  맥주 못 마셨을 때가 가장 힘들어” http://tenasia.hankyung.com/archives/565259  pic.twitter.com/ma6OAGeMBf,2015-06-22
'도둑들' 최동훈 감독  전지현  이정재  하정우의 <암살> 메인 예고편 공개. http://buff.ly/1Ghn6ET pic.twitter.com/3PzbI0eGJU,2015-06-22
"친일파 암살작전을 둘러싼 엇갈린 선택과 예측할 수 없는 운명을 그린 영화다. 전지현  이정재  하정우  오달수 등이 출연했으며 오는 7월 22일 개봉이다_

 영화 ‘암살’ 1933년 친일파 암살작전 주역들 http://www.asiatoday.co.kr/view.php?key=20150622010013410 …",2015-06-22
22일 오전 서울 강남구 신사동 CGV 압구정점에서 열린 영화 '암살' 제작보고회에 다녀왔습니다http://i.wik.im/223447  #암살 pic.twitter.com/GNAUPngchS,2015-06-22
