Date,Frequancy
2015-08-04,17
2015-08-05,30
2015-08-06,29
2015-08-07,24
2015-08-08,35
2015-08-09,15
2015-08-10,29
2015-08-11,31
2015-08-12,30
2015-08-13,34
2015-08-14,34
2015-08-15,24
2015-08-16,26
2015-08-17,33
2015-08-18,25
2015-08-19,31
2015-08-20,31
2015-08-21,34
2015-08-22,36
2015-08-23,28
2015-08-24,37
2015-08-25,39
2015-08-26,35
2015-08-27,42
2015-08-28,37
2015-08-29,55
2015-08-30,42
2015-08-31,37
2015-09-01,45
2015-09-02,55
2015-09-03,58
2015-09-04,42
2015-09-05,58
2015-09-06,81
2015-09-07,56
2015-09-08,47
2015-09-09,72
2015-09-10,62
2015-09-11,56
2015-09-12,52
2015-09-13,65
2015-09-14,38
2015-09-15,41
2015-09-16,64
2015-09-17,60
2015-09-18,55
2015-09-19,64
2015-09-20,40
2015-09-21,39
2015-09-22,48
2015-09-23,38
2015-09-24,32
2015-09-25,34
2015-09-26,37
2015-09-27,44
2015-09-28,41
2015-09-29,35
2015-09-30,34
2015-10-01,41
2015-10-02,33
