Date,Frequancy
2015-12-15,1
2015-12-16,1
2015-12-17,0
2015-12-18,0
2015-12-19,0
2015-12-20,0
2015-12-21,0
2015-12-22,0
2015-12-23,2
2015-12-24,0
2015-12-25,0
2015-12-26,0
2015-12-27,0
2015-12-28,4
2015-12-29,4
2015-12-30,1
2015-12-31,2
2016-01-01,1
2016-01-02,3
2016-01-03,5
2016-01-04,10
2016-01-05,4
2016-01-06,12
2016-01-07,13
2016-01-08,29
2016-01-09,4
2016-01-10,5
2016-01-11,22
2016-01-12,29
2016-01-13,13
2016-01-14,27
2016-01-15,18
2016-01-16,10
2016-01-17,7
2016-01-18,2
2016-01-19,4
2016-01-20,3
2016-01-21,2
2016-01-22,3
2016-01-23,0
2016-01-24,0
2016-01-25,1
2016-01-26,0
2016-01-27,2
2016-01-28,2
2016-01-29,0
2016-01-30,0
2016-01-31,1
2016-02-01,3
2016-02-02,0
2016-02-03,1
2016-02-04,0
2016-02-05,1
2016-02-06,4
2016-02-07,3
2016-02-08,0
2016-02-09,2
2016-02-10,0
2016-02-11,0
2016-02-12,1
