Date,Frequancy
2016-10-25,1
2016-10-26,3
2016-10-27,1
2016-10-28,1
2016-10-29,3
2016-10-30,1
2016-10-31,1
2016-11-01,2
2016-11-02,1
2016-11-03,5
2016-11-04,1
2016-11-05,5
2016-11-06,3
2016-11-07,2
2016-11-08,2
2016-11-09,1
2016-11-10,4
2016-11-11,4
2016-11-12,1
2016-11-13,3
2016-11-14,3
2016-11-15,7
2016-11-16,4
2016-11-17,1
2016-11-18,2
2016-11-19,1
2016-11-20,2
2016-11-21,8
2016-11-22,4
2016-11-23,25
2016-11-24,37
2016-11-25,40
2016-11-26,38
2016-11-27,38
2016-11-28,35
2016-11-29,36
2016-11-30,17
2016-12-01,28
2016-12-02,18
2016-12-03,15
2016-12-04,17
2016-12-05,8
2016-12-06,8
2016-12-07,7
2016-12-08,11
2016-12-09,7
2016-12-10,9
2016-12-11,7
2016-12-12,0
2016-12-13,6
2016-12-14,13
2016-12-15,10
2016-12-16,3
2016-12-17,1
2016-12-18,4
2016-12-19,7
2016-12-20,2
2016-12-21,1
2016-12-22,4
2016-12-23,3
