contents,date
"<어바웃 레이> 엘르 패닝-나오미 왓츠-수잔 서랜든  소년의 몸에 갇힌 소녀와 그 가족이 되다! 

11월 24일 개봉 예정

http://blog.naver.com/cinemaplus/220844656108 …pic.twitter.com/Cn9DasUUAD",2016-10-25
'다코타 패닝 여동생' 엘르 패닝 주연작 '어바웃 레이' 눈길  기대감 증폭 http://bit.ly/2f6oVTc pic.twitter.com/eTPRFGC15B,2016-10-26
어 헐 어바웃 레이 11월 24일 개봉이네 봐야지 꼭,2016-10-26
"""관객들께서 좋아해주신 만큼 앞으로도 더 좋은 영화를 소개해 드리려 노력하겠습니다.""

왓챠와 서울프라이드영화제가 함께한 '왓챠 프라이드 관객상'을 수상한 <어바웃 레이>는 11월 24일에 개봉을 앞두고 있습니다! pic.twitter.com/h8cPXhyWjl",2016-10-26
맞다 나 라라랜드 봐야대 그리고 어바웃 레이도 봐야되고 하씨 행복하내,2016-10-27
[맥스무비 - 영화정보] 어바웃 레이 http://m.maxmovie.com/movie/movie_info.asp?m_id=M000094072 …,2016-10-28
[맥스무비 - 영화정보] 어바웃 레이 http://m.maxmovie.com/movie/movie_info.asp?m_id=M000094072 …,2016-10-29
"<어바웃 레이>. 청소년 ftm  싱글맘  중장년 레즈비언으로 이루어진 가족 이야기.
나오미 왓츠  엘르 패닝  수잔 서랜든 주연.
11월 24일 개봉! 
https://youtu.be/48B9wSy4kPg 
http://m.movie.naver.com/m/endpage/movie/Basic.nhn?movieCode=130985 …pic.twitter.com/wwygugPRx0",2016-10-29
게다가 어바웃 레이는 캐롤 제작진이란다... 와후,2016-10-29
RT) <어바웃 레이>  <어바웃 레이>  <어바웃 레이>....(메모),2016-10-30
"11월 개봉작:
아더왕의 전설
레이디 수잔
테일 오브 테일즈
캡틴 판타스틱
(당신 자신과 당신의 것)
(코리올라누스)
(가려진 시간)
(신비한 동물 사전)
(줄리에타)
(미스 사이공: 25주년 특별 공연)
(어바웃 레이)",2016-10-31
[ #Tistory ][어바웃 레이] http://sallykim.tistory.com/2150 ,2016-11-01
< 어바웃 레이 > 친한 언니가 왓챠 시사회 당첨됐다고 해서 같이 보고 왔는데 정말 좋았다. 주인공은 남자가 되고 싶어하고  그에 고민하는 엄마와 성소수자 할머니와 애인이 주 등장인물. 11월 말 개봉 예정. 다시 보고싶을 정도다. pic.twitter.com/Usafxf94tV,2016-11-01
[맥스무비 - 영화정보] 어바웃 레이 http://m.maxmovie.com/movie/movie_info.asp?m_id=M000094072 … ㅎㅎ,2016-11-02
[맥스무비 - 영화정보] 어바웃 레이 http://m.maxmovie.com/movie/movie_info.asp?m_id=M000094072 …,2016-11-03
어떤 선택을 하더라도 네 편이야! [어바웃 레이] 메인 예고편: http://youtu.be/d72Xyjy3LQQ?a  (@YouTube),2016-11-03
엘르 패닝 주연 #어바웃레이 국내판 메인 예고편 공개 http://buff.ly/2fdB4Ve pic.twitter.com/qTwpBgcWdH,2016-11-03
"11/9 세얼간이/바후발리:더비기닝/아내업고 달리기/세상에서고양이가사라진다면/뷰티풀 레이디스
11/16 가려진 시간/신비한 동물사전(IMAX 3D)
11/24 잭 리처:네버 고 백/레이디 수잔/어바웃 레이
11/30 사운드 오브 뮤직/캡틴 판타스틱",2016-11-03
[맥스무비 - 영화정보] 어바웃 레이 http://m.maxmovie.com/movie/movie_info.asp?m_id=M000094072 …,2016-11-03
"""어떤 선택을 하더라도 네 편이야"" 트레일러 보다가 뭉클. <어바웃 레이> 11월 24일 개봉이라는데 또 잊지 말고 봐야 할 영화가 생겼다. 캐롤 제작진에 나오미 왓츠  수잔 서랜든  엘르 패닝! 기대된다.
http://m.movie.naver.com/m/endpage/movie/MultimediaDetail.nhn?movieCode=130985&multimediaId=32505 …pic.twitter.com/lalmLAw3Kt",2016-11-04
[맥스무비 - 영화정보] 어바웃 레이 http://m.maxmovie.com/movie/movie_info.asp?m_id=M000094072 …,2016-11-05
어바웃 레이가 보고시프다아아아,2016-11-05
"어바웃 레이 개봉했나?
보러가고 싶다",2016-11-05
어바웃 레이 예고편 봤구 꼭 보러 가야겠다    특히 우리 엘르가 나온다 그것도 존잘로...,2016-11-05
"11월 영화관 가서 볼(보고싶은) 영화

신비한 동물 사전
가려진 시간
사운드 오브 뮤직
테일 오브 테일즈
어바웃 레이
코리올라누스
햄릿
튤립피버

이 중에서 4개만 볼 수 있어도 좋겠다.",2016-11-05
[맥스무비 - 영화정보] 어바웃 레이 http://m.maxmovie.com/movie/movie_info.asp?m_id=M000094072 …,2016-11-06
어바웃 레이 꼭 봐야지...ㅠㅠ,2016-11-06
엘르 패닝이 나오는 <어바웃 레이> 보고싶다ㅠㅠ 엘르패닝 짱짱맨..,2016-11-06
[맥스무비 - 영화정보] 어바웃 레이 http://m.maxmovie.com/movie/movie_info.asp?m_id=M000094072 …,2016-11-07
"#나오미왓츠 #엘르패닝 #수잔서랜든
조금 더 행복해지고 싶은 그들의 특별한 이야기
<어바웃 레이> 메인 예고편 기대평을 남긴
15분을 GV시사회에 초대합니다!
참여https://goo.gl/i2GdPg 
#어바웃레이 #11월24일_메가박스단독개봉 pic.twitter.com/5r9TauVkGG",2016-11-07
[맥스무비 - 영화정보] 어바웃 레이 http://m.maxmovie.com/movie/movie_info.asp?m_id=M000094072 …,2016-11-08
"11월 24일에 개봉하는 어바웃 레이 
보러가고 싶다...요즘 보고싶은 영화 너무 많다..광광",2016-11-08
18일 포켓몬스터 썬문/24일 어바웃 레이 기다리면서 진짜 행복했는데  샤머니즘 신도 ㄹ녜의 새로운 핵똥 협정과 빻은 트럼프 지지자들이 다 망쳐 놨다.,2016-11-09
어떤 선택을 하더라도 네 편이야! [어바웃 레이] Ray 독백 영상: http://youtu.be/ZbltPtQXac8?a  (@YouTube),2016-11-10
감정적으로 지지하고 싶은 영화들이 가끔 있다 <어바웃 레이> #왓챠 http://watcha.net/movies/about-ray-2015?unique_id=mhk057 …,2016-11-10
