Date,Frequancy
2016-12-12,36
2016-12-13,33
2016-12-14,36
2016-12-15,28
2016-12-16,38
2016-12-17,24
2016-12-18,18
2016-12-19,29
2016-12-20,37
2016-12-21,32
2016-12-22,46
2016-12-23,39
2016-12-24,40
2016-12-25,36
2016-12-26,25
2016-12-27,31
2016-12-28,20
2016-12-29,22
2016-12-30,33
2016-12-31,33
2017-01-01,31
2017-01-02,33
2017-01-03,25
2017-01-04,34
2017-01-05,43
2017-01-06,39
2017-01-07,32
2017-01-08,29
2017-01-09,39
2017-01-10,37
2017-01-11,43
2017-01-12,43
2017-01-13,37
2017-01-14,37
2017-01-15,37
2017-01-16,38
2017-01-17,30
2017-01-18,38
2017-01-19,36
2017-01-20,35
2017-01-21,33
2017-01-22,36
2017-01-23,34
2017-01-24,33
2017-01-25,16
2017-01-26,24
2017-01-27,11
2017-01-28,20
2017-01-29,14
2017-01-30,25
2017-01-31,21
2017-02-01,17
2017-02-02,9
2017-02-03,22
2017-02-04,11
2017-02-05,21
2017-02-06,7
2017-02-07,15
2017-02-08,15
2017-02-09,16
