contents,date
‘어쌔신 크리드’  대망의 파이널 예고편 공개..압도적 몰입감 예고 ‘눈길’ / 브레이크뉴스  http://www.breaknews.com/479068 ,2016-12-12
"어쌔신크리드.... 저 깃털모양을 2개 빼고 다 얻고 왔다(겜지도를 펼치며
그 2개는 오류땜시 못 얻었다 pic.twitter.com/18kFxSLzrR",2016-12-12
다봤당 어쌔신크리드 신디케이트! 이비ㅠㅠㅠㅠ 이비 가지마ㅠㅠㅠㅠ 이비가 게임상 실존인물이 아니라서 더 슬프다.. pic.twitter.com/KKTVZozKgL,2016-12-12
"https://youtu.be/Gfyqf0IUlcI 
어쌔신 크리드 영화 3차 트레일러...!",2016-12-12
[Pain Kid]어쌔신 크리드 : 유니티 (Assassin's creed : Unity) - 1(3): http://youtu.be/Zzeu3BM_63Y?a  (@YouTube),2016-12-12
어쌔신 크리드 요즘 나오는 예고편들 보면 너무 재미있을 것 같다. 나는 패스밴더도 좋고.,2016-12-12
모습을 드러낸 선악과  영화 ‘어쌔신 크리드’ 신규 예고편 공개 http://blog.naver.com/neozero4302/220884454707 …,2016-12-12
[어쌔신 크리드] 30초 예고편 https://youtu.be/7LtsvD0pubw ,2016-12-12
"그림쟁이가 아닌 게이머의 연말 정산
7월달 기록을 살펴보니 포켓몬 고 밖에 없더군요...
위쳐3 와 어쌔신크리드 신디케이트는 DLC 만 해당됩니다. 본판은 작년에 끝냈습니다. pic.twitter.com/aZhFnrfgUJ",2016-12-12
마이클 패스벤더  마리옹 꼬띠아르  제레미 아이언스 #어쌔신크리드 국내판 파이널 예고편 공개 http://buff.ly/2hEcBWQ pic.twitter.com/WAInEaLnhe,2016-12-12
"""Requiescat in pace""(어쌔신 크리드)",2016-12-12
3월은 특별한 일 없이 다크 소울 3 기다리며 블러드본이나 돌리던 때. 그리고 이때 어쌔신 크리드 코스 시작,2016-12-12
영화를 통해 어쌔신 크리드를 처음으로 접하실 수도 있는 여러분을 위해 준비한 애니머스에 대한 글입니다. https://brunch.co.kr/@kudokun/28  pic.twitter.com/JP1Zp8DtV2,2016-12-12
"그런데 어쌔신 크리드 재미있나요 ㅇ

명작이라고 말씀들하시는데 뭐....직접 해봐야겠죠",2016-12-12
"어쌔신크리드의 메인 스토리는 변화되지 않는구나
유일한 암살단의 후손 > 앱스테르고에 납치 > 주인공으로 에덴의 조각을 애니머스로 빼돌릴려고함 > 주인공이 암살단과 성전기사단(앱스테르고)의 숙적관계와 앱스테르고의 목적을 깨달음 > 미쳐날뜀",2016-12-12
매드캣님 그거같아 어쌔신 크리드 신디케이트에서 투기장 운영하는 모자쓴 NPC..,2016-12-12
어쌔신 크리드 - 간지나는 시네마틱 트레일러 예고편 http://blog.naver.com/rkdals1084/220883888934 …,2016-12-12
[영화] 어쌔신 크리드 트레일러 모음 (한글자막) http://kaas14.blog.me/220883875695 ,2016-12-12
어쌔신 크리드 파이널 트레일러 공개 < 취미 정보공유 < 예판넷 http://fb.me/5lXkqYEWK ,2016-12-12
1월 어쌔신크리드 패신저스 / 2월 레지던트 이블 핵소리지 / 3월 로건 공각기동대 / 5월 가오겔 / 6월 원더우먼 트랜스포머 / 7월 스파이더맨 / 11월 저스티스리그,2016-12-12
와 1월에 어쌔신크리드영화도 나와????????,2016-12-12
어쌔신 크리드 정말 불안하다...,2016-12-12
"어쌔신 크리드 3 무료라서 다운받았더니
영어야..... 
이참에 영어 공부나 하자 《못 알아들음",2016-12-12
광대고양이나르의 어쌔신크리드에지오컬렉션(에지오의탄생): http://youtu.be/aKGNhGr5guU?a  (@YouTube),2016-12-12
