Date,Frequancy
2016-09-13,4
2016-09-14,0
2016-09-15,1
2016-09-16,0
2016-09-17,0
2016-09-18,0
2016-09-19,1
2016-09-20,8
2016-09-21,2
2016-09-22,19
2016-09-23,2
2016-09-24,13
2016-09-25,1
2016-09-26,22
2016-09-27,15
2016-09-28,15
2016-09-29,13
2016-09-30,20
2016-10-01,10
2016-10-02,17
2016-10-03,15
2016-10-04,24
2016-10-05,18
2016-10-06,24
2016-10-07,18
2016-10-08,23
2016-10-09,21
2016-10-10,25
2016-10-11,35
2016-10-12,36
2016-10-13,38
2016-10-14,39
2016-10-15,45
2016-10-16,59
2016-10-17,37
2016-10-18,40
2016-10-19,30
2016-10-20,33
2016-10-21,35
2016-10-22,36
2016-10-23,24
2016-10-24,28
2016-10-25,14
2016-10-26,12
2016-10-27,12
2016-10-28,5
2016-10-29,2
2016-10-30,8
2016-10-31,4
2016-11-01,4
2016-11-02,2
2016-11-03,8
2016-11-04,4
2016-11-05,11
2016-11-06,11
2016-11-07,10
2016-11-08,8
2016-11-09,2
2016-11-10,6
2016-11-11,5
