contents,date
천재 회계사로 돌아온 #벤애플렉 신작 #어카운턴트 #예고편 #개봉일 #2016년10월13일 #yeahgohttps://youtu.be/RVi1dudBdfI ,2016-09-13
[어카운턴트] 메인 예고편: http://youtu.be/RH7TpOhjPKk?a  (@YouTube),2016-09-13
"요즘 나는 살기싫을때마다..
배트맨 솔로무비를 생각하거나..
저리 트레일러를 돌려보거나..
어카운턴트 뚱냥 스틸을 찾아보거나..
리바나 트레일러를 돌려보거나...<-new!",2016-09-13
흠 어카운턴트는 캐릭터가 잘 감이 안오지만 나머지 영화들이 모두 다 배트맨이 어플말곤 아무도 못 까는 그런 영화들이란건 잘 알겠다.,2016-09-13
둘이 노래 부른 건 칸 갔을 때였어요!ㅋㅋ 뜬금없이 칸 가더니 라이브로 듀엣 노래도 부르고ㅋㅋㅋ 일단 우리 어카운턴트 같이 보고 내년엔 트롤도 함께해요,2016-09-15
애나 어카운턴트 홍보로 GMA 나오나 보네. 날짜는 아직 안 나온 듯?,2016-09-19
어카운턴트 http://oneringtrailers.com?m=100638oneringtrailers.com/?m=100638  http://youtu.be/lDCy8G1kTJA  • 국내: 2016-10-13,2016-09-20
‘어카운턴트’ 벤 애플렉  ‘악당들의 천재 회계사’ 정체 공개 http://tenasia.hankyung.com/archives/1018301 …pic.twitter.com/PyY1R7bqz9,2016-09-20
"벤 애플렉 주연의 영화 어카운턴트의 메인 포스터. 10월 13일 국내 개봉예정
http://m.entertain.naver.com/read?oid=311&aid=0000651881 …pic.twitter.com/RYUrBmwKOh",2016-09-20
벤 애플렉 주연 액션 스릴러 #어카운턴트 국내판 메인 포스터 http://buff.ly/2cYJ8H3 pic.twitter.com/GJGs1D9cup,2016-09-20
"벤 애플렉의 역대급 캐릭터 탄생!
악당들의 회계사 #어카운턴트
메인 예고편 최초 공개!

지금 예고편 공유하고 친구 소환하면
예매권 GET! (~9/26  10명)

#벤애플렉 #안나켄드릭 #JK시몬스... http://fb.me/2BUc5XK8t ",2016-09-20
"벤 애플렉의 어카운턴트 메인포스터랑 티져포스터랑 같이 놓고 보니까..엄...
참고로 JK시몬스도 출연합니다... 배트맨과 고든청장... pic.twitter.com/6hGot3kTUG",2016-09-20
<무비프리 이벤트> 어카운턴트  The Accountant 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 즐겨보세요!.  http://app.moviepre.co.kr  pic.twitter.com/TVdwlEyfJw,2016-09-20
<무비프리 이벤트> 어카운턴트  The Accountant 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 즐겨보세요!.  http://app.moviepre.co.kr  pic.twitter.com/4m3SqANJnX,2016-09-20
어카운턴트 내일 개봉할거 같으면서 안하네,2016-09-21
<무비프리 이벤트> 어카운턴트  The Accountant 필수 엔터테인먼트 앱  무비프리와 함께 프리하고 즐거운 문화생활을 즐겨보세요!.  http://app.moviepre.co.kr  pic.twitter.com/4J3XTO3oU2,2016-09-21
[맥스무비] 영화정보 - 어카운턴트 http://m.maxmovie.com/movie/movie_info.asp?m_id=M000096619 …,2016-09-22
벤 애플렉의 역습  '디 어카운턴트' 공식 예고편 및 국내 개봉 포스터 공개. 악당의 천재 회계사 벤 애플렉 신작 '더 어카운턴트' 국내 개봉일은? http://33jaeseok.tistory.com/859 ,2016-09-22
