Date,Frequancy
2016-10-31,0
2016-11-01,1
2016-11-02,5
2016-11-03,3
2016-11-04,5
2016-11-05,1
2016-11-06,1
2016-11-07,1
2016-11-08,5
2016-11-09,1
2016-11-10,3
2016-11-11,3
2016-11-12,1
2016-11-13,1
2016-11-14,1
2016-11-15,2
2016-11-16,3
2016-11-17,9
2016-11-18,13
2016-11-19,2
2016-11-20,2
2016-11-21,5
2016-11-22,4
2016-11-23,4
2016-11-24,2
2016-11-25,4
2016-11-26,3
2016-11-27,4
2016-11-28,12
2016-11-29,9
2016-11-30,15
2016-12-01,15
2016-12-02,13
2016-12-03,4
2016-12-04,9
2016-12-05,3
2016-12-06,7
2016-12-07,3
2016-12-08,1
2016-12-09,1
2016-12-10,1
2016-12-11,1
2016-12-12,0
2016-12-13,0
2016-12-14,0
2016-12-15,0
2016-12-16,0
2016-12-17,1
2016-12-18,0
2016-12-19,0
2016-12-20,0
2016-12-21,0
2016-12-22,0
2016-12-23,0
2016-12-24,0
2016-12-25,0
2016-12-26,0
2016-12-27,1
2016-12-28,1
2016-12-29,0
