Date,Frequancy
2016-06-14,1
2016-06-15,8
2016-06-16,1
2016-06-17,1
2016-06-18,2
2016-06-19,1
2016-06-20,10
2016-06-21,1
2016-06-22,3
2016-06-23,10
2016-06-24,3
2016-06-25,2
2016-06-26,3
2016-06-27,13
2016-06-28,3
2016-06-29,11
2016-06-30,13
2016-07-01,14
2016-07-02,12
2016-07-03,2
2016-07-04,4
2016-07-05,12
2016-07-06,34
2016-07-07,17
2016-07-08,12
2016-07-09,6
2016-07-10,2
2016-07-11,17
2016-07-12,19
2016-07-13,13
2016-07-14,25
2016-07-15,18
2016-07-16,31
2016-07-17,19
2016-07-18,17
2016-07-19,19
2016-07-20,13
2016-07-21,19
2016-07-22,9
2016-07-23,5
2016-07-24,9
2016-07-25,7
2016-07-26,6
2016-07-27,6
2016-07-28,6
2016-07-29,8
2016-07-30,9
2016-07-31,6
2016-08-01,8
2016-08-02,4
2016-08-03,3
2016-08-04,4
2016-08-05,2
2016-08-06,1
2016-08-07,2
2016-08-08,3
2016-08-09,3
2016-08-10,2
2016-08-11,2
2016-08-12,4
