Date,Frequancy
2016-04-25,40
2016-04-26,26
2016-04-27,27
2016-04-28,28
2016-04-29,27
2016-04-30,28
2016-05-01,22
2016-05-02,32
2016-05-03,33
2016-05-04,29
2016-05-05,20
2016-05-06,33
2016-05-07,17
2016-05-08,23
2016-05-09,33
2016-05-10,36
2016-05-11,48
2016-05-12,32
2016-05-13,37
2016-05-14,34
2016-05-15,27
2016-05-16,25
2016-05-17,30
2016-05-18,30
2016-05-19,40
2016-05-20,35
2016-05-21,31
2016-05-22,30
2016-05-23,44
2016-05-24,59
2016-05-25,48
2016-05-26,48
2016-05-27,79
2016-05-28,37
2016-05-29,38
2016-05-30,42
2016-05-31,39
2016-06-01,40
2016-06-02,39
2016-06-03,58
2016-06-04,39
2016-06-05,52
2016-06-06,38
2016-06-07,52
2016-06-08,37
2016-06-09,33
2016-06-10,23
2016-06-11,34
2016-06-12,42
2016-06-13,26
2016-06-14,21
2016-06-15,21
2016-06-16,12
2016-06-17,12
2016-06-18,17
2016-06-19,16
2016-06-20,9
2016-06-21,9
2016-06-22,6
2016-06-23,12
