Date,Frequancy
2016-02-09,0
2016-02-10,1
2016-02-11,1
2016-02-12,2
2016-02-13,0
2016-02-14,1
2016-02-15,0
2016-02-16,1
2016-02-17,2
2016-02-18,3
2016-02-19,3
2016-02-20,0
2016-02-21,0
2016-02-22,3
2016-02-23,11
2016-02-24,4
2016-02-25,1
2016-02-26,2
2016-02-27,1
2016-02-28,1
2016-02-29,2
2016-03-01,1
2016-03-02,2
2016-03-03,0
2016-03-04,1
2016-03-05,3
2016-03-06,6
2016-03-07,4
2016-03-08,6
2016-03-09,14
2016-03-10,17
2016-03-11,18
2016-03-12,8
2016-03-13,12
2016-03-14,15
2016-03-15,12
2016-03-16,10
2016-03-17,7
2016-03-18,8
2016-03-19,4
2016-03-20,10
2016-03-21,5
2016-03-22,2
2016-03-23,7
2016-03-24,5
2016-03-25,5
2016-03-26,1
2016-03-27,3
2016-03-28,5
2016-03-29,7
2016-03-30,8
2016-03-31,0
2016-04-01,3
2016-04-02,3
2016-04-03,2
2016-04-04,0
2016-04-05,0
2016-04-06,2
2016-04-07,1
2016-04-08,2
