Date,Frequancy
2016-02-02,0
2016-02-03,0
2016-02-04,0
2016-02-05,1
2016-02-06,1
2016-02-07,2
2016-02-08,0
2016-02-09,0
2016-02-10,1
2016-02-11,0
2016-02-12,1
2016-02-13,0
2016-02-14,0
2016-02-15,3
2016-02-16,2
2016-02-17,0
2016-02-18,1
2016-02-19,0
2016-02-20,0
2016-02-21,3
2016-02-22,7
2016-02-23,8
2016-02-24,5
2016-02-25,5
2016-02-26,0
2016-02-27,0
2016-02-28,3
2016-02-29,2
2016-03-01,1
2016-03-02,2
2016-03-03,4
2016-03-04,10
2016-03-05,2
2016-03-06,7
2016-03-07,3
2016-03-08,4
2016-03-09,8
2016-03-10,3
2016-03-11,3
2016-03-12,2
2016-03-13,1
2016-03-14,2
2016-03-15,0
2016-03-16,1
2016-03-17,3
2016-03-18,0
2016-03-19,1
2016-03-20,0
2016-03-21,0
2016-03-22,0
2016-03-23,2
2016-03-24,1
2016-03-25,0
2016-03-26,0
2016-03-27,0
2016-03-28,1
2016-03-29,0
2016-03-30,0
2016-03-31,0
2016-04-01,0
