contents,date
에밀리 블런트  마이클 베이 영화 #13시간 위해 식스팩 만든 남편 몸이 맘에 안 들었다고... http://buff.ly/1PmTM4w pic.twitter.com/y1J8vvT4oA,2016-02-05
"영화 [13시간]  용맹한 특수 용병들의 활약상
http://durl.me/bezjgn ",2016-02-06
영화예고편으로 영어공부하기 - 13시간 http://blog.naver.com/tjeducation/220621192688 …,2016-02-07
모든 것이 잘못된 순간 정의를 위해 싸운 6명의 영웅이 있었다. #13시간 #영화 #보고싶어요 #기다림에 #무비 #퇴근중 https://www.instagram.com/p/BBfCxncCKYp/ ,2016-02-07
마이클 베이 13시간이 벵가지 사태 영화인가??...마이클 베이 영화가 클린턴에게 안좋은 소식리 될거라는 기사 본거 같은데...,2016-02-10
마이클 베이 감독 영화 #13시간 시사회 초대 중. 방송인 타일러 라쉬의 GV도 있습니다. 2월22일  저녁  롯데시네마 월드타워. 지금 바로 신청하세요. http://buff.ly/1KJHBSE  pic.twitter.com/WMUCypj9w5,2016-02-12
[13시간] 시사회는 영화보다는 타일러 GV보러 가고싶긴 하다...,2016-02-15
영화 #13시간 이 다룬 리비아 벵가지 사태 사건 일지 http://goo.gl/iA01DP pic.twitter.com/VFIhBOiogN,2016-02-15
마이클 베이 감독 영화 #13시간 보기 전 알아두면 좋은 '리비아 내전' 일지 (스압) http://buff.ly/20ykUCM pic.twitter.com/SbcJ9KOjB5,2016-02-15
[ 13시간 ] 영화속 주요캐릭터와 실존인물 비교 http://jovovichi.blog.me/220628773538 ,2016-02-16
마이클 베이 감독의 액션 #13시간 영화속 주요캐릭터와 실존인물 비교 http://buff.ly/1QivckQ pic.twitter.com/T1FPSGaHNg,2016-02-16
영화 #13시간 의 배경이 된 벵가지 테러 사건의 전말 http://buff.ly/20FiYIN pic.twitter.com/p1AIfch0sb,2016-02-18
후불폰믿음_(사진=영화 '13시간' 스틸컷) 마이클 베이 감독의 '13시간'이 3월3일…(후불유심 더보기)_http://bit.ly/1Q0QBDi pic.twitter.com/5iwRF0VDBL,2016-02-21
"[13시간]은 마베 감독이 ""훌륭한 배우""를 얘기하고 배우는 마베를 ""비전을 가진 감독""을 얘기하는 걸 보니 아무 내용 없이 폭탄만 펑펑 터지다 끝나는 답 없는 영화일 것 같다.",2016-02-21
업소폰매입_3월 3일 개봉을 앞둔 영화 13시간은 2012년 리비아 벵가지  미국 영…(선불폰판매 더보기)_http://bit.ly/2185YNO  pic.twitter.com/kZ9Vyv19JR,2016-02-21
영화 13시간 같이 볼사람 없나...,2016-02-22
<13시간> - JK필름의 영화를 보는 기분 http://dsp9596.blog.me/220635212089 ,2016-02-22
올해 최악의 영화 : [13시간],2016-02-22
"#13시간 #마이클베이 #영화 #시사회 
1. 끝없는 폭발  절대 하지 않는 재장전  쏟아지는 총알과 파편  멍청한 마초 유머  가족과의 영상통화  넘쳐나는 사망… https://www.instagram.com/p/BCF5rqZRoVB/ ",2016-02-22
헉 너무 정확한 평이다. [13시간]은 쓸데없는 영화였다. 왜 만들었지???,2016-02-22
"<A-event> 영화 <13시간> 예매권 증정 이벤트!
모두가 숨죽였던 그날 
역사상 가장 숨막히는 13시간의 구출작전이 시작된다!

영화 <13시간> 예고편을 감상하고 친구 태그와 함께 기대평을... http://fb.me/4f4Vu9huT ",2016-02-22
[13시간] 초반 30분 비밀 작전은 왜 넣었는지 모르겠다. 영화가... 쓸데없다.,2016-02-22
다음주 개봉예정 영화 목록(3/3): 다음주 개봉예정 영화 목록입니다^_^ 3/3 설행 눈길을 걷다 트윈스터즈 룸 13시간 갓 오브 이집트 무수단 방 안의 코끼리 서울야행 섬.사라진 사람들 야동보기...... http://fb.me/6Ys11gz9z ,2016-02-23
13시간 개봉영화 티켓 가격은 환율계산하면 2 500원 정도하는데 물가는 엄청오르고…남아공 케이프타운 게스트하우스 (출처 : 찰리하우스...남아공 케이프타운의 또 하나 가족입니다 | 네이버 카페) http://me2.do/5Vnbe3jX ,2016-02-23
힐러리 대선 가도에 악영향? 영화 #13시간 6가지 비하인드 스토리. http://buff.ly/1RjHjkP pic.twitter.com/7LGBaD6Ra8,2016-02-23
"#13시간 시사 후기 ""마이클 베이 영화답지 않은 절제감"" http://buff.ly/1VB9bCc pic.twitter.com/pFY0tytP0e",2016-02-23
"#13시간 시사 후기 ""마이클 베이 감독  변신로봇 영화 말고  이런 영화도 틈틈히 만들어주길..."" http://buff.ly/1QdU1m6  pic.twitter.com/J0g6E6sun3",2016-02-23
물가가 엄청올라도 13시간 개봉영화 티켓 가격은 환율계산하면 2 500원 정도…남아공 케이프타운 게스트하우스 (출처 : 찰리하우스.. | 네이버 블로그) http://me2.do/GyI2e61Q ,2016-02-23
13시간 개봉영화 티켓 가격은 환율계산하면 2 500원 정도하는데 물가는 엄청오르고…남아공 케이프타운 게스트하우스 (출처 : 찰리하우스...남아공 케이프타운의 또 하나 가족입니다 | 네이버 카페) http://me2.do/5Vnbe3jX ,2016-02-23
물가가 엄청올라도 13시간 개봉영화 티켓 가격은 환율계산하면 2 500원 정도…남아공 케이프타운 게스트하우스 (출처 : 찰리하우스.. | 네이버 블로그) http://me2.do/GyI2e61Q ,2016-02-23
"영화 13시간  조금 만 더 짧게 편집 했다면 더 좋았을텐데
그래도 후반은 정말 좋았다 http://fb.me/54Jcq4Ono ",2016-02-24
13시간 시사리뷰 실화이기에 마이클베이의 영화이면서 아닌영화 http://garuda.tistory.com/1592 ,2016-02-24
13시간 개봉영화 티켓 가격은 환율계산하면 2 500원 정도하는데 물가는 엄청오르고…남아공 케이프타운 게스트하우스 (출처 : 찰리하우스...남아공 케이프타운의 또 하나 가족입니다 | 네이버 카페) http://me2.do/xh7THOpz ,2016-02-24
"#13시간 시사 후기 ""마이클 베이 감독의 절제가 돋보인 영화"" http://buff.ly/21pmJ7t  pic.twitter.com/sxZn1ENoPj",2016-02-24
그리하여 아무 생각 없이 본능으로 찍은 영화 #13시간 @willimoo12,2016-02-24
다음 영화는 13시간인가.. 그거볼까 함..,2016-02-25
"- [영화] 13시간 (2월 28일 까지)
참여하기 > 아레나옴므플러스코리아 ( http://evnt.ga/1330  )",2016-02-25
영화 13시간을.. 십삼시간..이래.. 맙소사..,2016-02-25
@songsun21 좌우지간 올 들어 국내외적으로 '베이스트 온 트루 스토리' 영화가 참 많다... (떠오르는 것만 헤아려봐도  순서 무관) 동주. 귀향. 조이. 룸. 13시간. 빅쇼트. 스티브 잡스. 오빠생각. 세기의 매치. 순정. 멜리스... 계속,2016-02-25
"영화 #13시간 해외 매체들의 호평 모음 ""<나쁜 녀석들>과 <더 록> 이후 마이클 베이가 만든 최고의 작품"" http://buff.ly/1S2ucqo  pic.twitter.com/WGmnVotoCK",2016-02-25
슈퍼액션에서 더록 보는 중간에 <13시간> 예고편 나오니까 영화 좀 궁금해졌다. 마이클 베이의 '군인-액션영화' 20년의 갭 어떨지...,2016-02-28
"울고 싶을때
위시리스트에 넣은 영화가
우리 지역 그 어느 영화관에서도 상영안해줄때
시발!
사울의 아들
13시간
룸
이거 다 안해!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",2016-02-28
@willimoo12 13시간 감상평 재탕합니다. 영화가 쓸데없더군요.,2016-02-28
[당첨자발표] 영화 ‘13시간' 예매권 증정 이벤트! http://fb.me/792Xbnkdu ,2016-02-29
"그런데 말입니다..
이번 주  무슨 영화를 봐야할까요? 
#메가박스 가 추천하는 3월 첫 주 기대작
#트윈스터즈 #룸 #갓오브이집트 #13시간 #섬_사라진사람들 ↓
https://goo.gl/mLM2oD  pic.twitter.com/JcbtVCA8Ub",2016-02-29
영화 13시간 광고가 나오길래 봤는데 감독 마이클 베이 하는 순간 표정이 찌그러졌다 진짜 순식간에 짜증이 훅 올라옴 어쩐지 펑펑 터지더라니,2016-03-01
이번에 개봉하는 영화 '13시간'은 오바마 행정부 외교 사상 최악의 참사이자 힐러리 국무장관 시절의 최악의 실패라고 할 수 있는 벵가지 미국 대사관이 피습당해서 스티븐스 대사를 포함 4명이 사망한 사건을 다루고 있는데......,2016-03-02
마이클 베이의 <13시간>. 전에는 이런 영화 보면 미국식 영웅주의가 불편했는데  지금 보니 그나마 미국이 나아 보인다. 영화의 주인공인 용병 6명과 세월호 민간 잠수사들을 비교해 보면 말이다.... http://fb.me/2ImoOorQ4 ,2016-03-02
2016년 3월 첫째주 개봉영화: 룸 ★☆    트윈스터즈 ★☆    13시간 ★    갓 오브 ... http://bit.ly/1TUxVGL ,2016-03-03
리비아 벵가지 실제 테러사건을 다룬  영화 #13시간 후기. 마이클 베이 감독작. (출처 : ★ 무비 J.. | 네이버 블로그) http://me2.do/xzIBY7H7 ,2016-03-03
"3월의 영화 감상 일정
첫째주말: 13시간  무수단
둘째주말: 조이  런던 해즈 폴른
넷째주말: 배트맨 VS 슈퍼맨",2016-03-03
보고싶은 영화가 너무 많다. 이미 막내린 캐롤도 보고싶고 귀향  동주  데드풀  13시간  주토피아  섬 사라진사람들. 영화는 볼만한건 한번에 몰아서 나오고 그러다 또 한동안 볼게없고 그러네 ㅠㅠ 아 막내리지마 ㅠㅠ,2016-03-03
"영화 13시간 보고왔다.
베이형 트랜스포머는 대충만들더니 이영화는 왜이리 잘만들었대",2016-03-04
플래툰의 영화 13시간 이벤트 당첨. 고로 조만간 영화 13시간 보러 갑니다.,2016-03-04
"올빼미족을 위한 심야영화 패키지 '무비올나잇'
3/4(금)~3/5(토) @동대문 (예매: http://goo.gl/edUiu4 ) 
패키지1:동주+귀향+(자막)주토피아
패키지2:갓오브이집트+13시간+데드풀 pic.twitter.com/hoRgMxzebA",2016-03-04
#일상#아침#조조#영화#꿀#근무#직징#직장인#13시간#액션#롯데시네마#안뇽#발스타그램#발#신발#나이키#킬샷#룰루 by luv_ddudi pic.twitter.com/BXj51F96N0,2016-03-04
방금 13시간 보고 왔는데 이용철 평론가님 평이 궁금해지네요. 진짜 개씹쓰레기 병신같은 영화였어요 — ㅜㅜ https://l.ask.fm/igoto/45DKECPW7B667HQMHN2IG6NM56GC7PQVRTZ3HXXIKHV2XYNMYIYNC6KOFRH4CRZ3KO272FQEINRH6FIN5U36Y3N7NLRP5BJDXAAQDBCPIR3SEK6PA6MD4JHXTT5O5VDVTCUYAVIDZXKE3F4EICDQURLE72IHT74O23OURUDLTKWI2I47GRDX5XPV2BALT47GRM7YYSYZ …,2016-03-04
"3/4
따뜻한 날씨의 금요일!오늘같은 날~ 영화한편 관람하는 기분이 짱이죠!
불금에 영화어떠세요?!
#13시간 #무수단 #룸 #갓오브이집트 #섬사라진사람들 #트윈스터즈 가 개봉했답니다 pic.twitter.com/psLe87EvW7",2016-03-04
"영화 '13시간' 봤다...
거의 1주일 1영화를 보구 있당...
영화평을 대충 보구 봤는데
실화를 바탕으로해선지 주제가 무거웠지만 재밌게(?) 봤다...
진짜 마이클베이스럽지 않은 영화~ pic.twitter.com/mkmFYBgmOR",2016-03-04
13시간.. 초중반 분위기만 잡아가면서 살살 약올리듯 쪼이고는 제목의 시간대에 진입하자마자 후반부는 교전-쉼-교전의 연속. 내내 귀를 자극한 총소리만큼이나 표현도 은근히 과격하고. 영화적 의미 뭐 그런걸 몰겠고 적어도 감독 장기는 보여준듯. 잼있었음.,2016-03-04
@sejung101 @producedong 13시간 이라는 영화 ㅋㅋ  주토피아보고싶었는데 친구가 내일 같이 보자고해서,2016-03-04
"@_19850326 @mochalattebest 주토피아는 굳이 영화관에서 보지 않아도 되는 영화긴 해요. 
요새 외화는 왠간한 거 다 봤는데 13시간만 피하시면 됩니다. 13시간은 시사회 덕에 공짜로 봤는데도 으윽.. 차비랑 시간이 아까웠네요ㅠㅠ",2016-03-04
영화 <13시간> 후기 (존 크래신스키  제임스 뱃지 데일  맥스 마티니  마이클 베이 감독) http://blog.naver.com/textpic/220646568509 …,2016-03-05
음 아무래도 올해 최악의 영화 [13시간]에서 [런던 해즈 폴른]으로 바꿔야할 듯... ㅋㅋㅋㅋㅋㅋㅋㅋ,2016-03-05
영화 13시간 교훈: 여러분 우리 모두 정규직이 됩시다.,2016-03-06
[곽명동의 씨네톡]영화 ‘13시간’에 조셉 캠벨의 신화가 등장한 이유 (출처 : 마이데일리 | 네이버 TV연예) http://me2.do/xh7fwcgI ,2016-03-06
13시간 보고왔는데 간만에 좋은 밀리터리 영화였네요 ㅎㅎㅎ,2016-03-06
"와~ 날씨한번 찢어지네~ㅎㅎ
왕십리 CGV에서 '13시간' 영화한편 때리고..
간만에 기억이 새록새록해서 사진한번 찍어봤다 ㅋㅋ
2014.01.16.강남1970 로만손… https://www.instagram.com/p/BCmdl5CqdP6/ ",2016-03-06
"13시간을 보고 난 소감 

B급임에도 '좀' 잘 만들어진 마이클 베이 영화",2016-03-06
"화요일은 영화보는 날
13시간
룸
스포트라이트
잘 보겠소..",2016-03-06
[13시간] 마이클 베이의 영화 리듬감은 아무리 생각해도 엉망이다. 여전한 카메라 앵글과 플레어등등. 발전이라는 걸 모르는 감독. 스피어X관에서 봤는데 왜 만들었을까. 스크린X처럼 기획 영화 활용도 안될 관인거 같은데.,2016-03-06
영화 13시간 보는데 이 파지법이 나오더라... pic.twitter.com/ZO1tiAl6b6,2016-03-07
밀덕이라면 13시간 볼만하다 간만의 시가전 영화라,2016-03-07
13시간 그거 진주만 아메리칸스나이퍼 류 아니겠습니까 미국뽕 영화 좋아하지말입니다,2016-03-07
"오늘 영화 ""13시간"" 봤는데 (노스포) ㅡ #배우 에 관한 이슈 모아보기 http://lenz.co.kr/taste/23804/timeline … 앱-  http://bit.ly/1QnugfV ",2016-03-08
"영화 [13시간] 평점…
내용 - ★★★☆☆ 애국심은 역시 미국…
액션 - ★★★☆☆ 총알수에 반비례…
감동 - ★★★☆☆ 실화 영화의 마지막 자막은 슬퍼…
한줄평 - 진보 할리우드와 친북 충무로는 틀리다… pic.twitter.com/HfNVJgInXc",2016-03-08
