Date,Frequancy
2016-10-24,33
2016-10-25,28
2016-10-26,38
2016-10-27,36
2016-10-28,30
2016-10-29,26
2016-10-30,38
2016-10-31,39
2016-11-01,25
2016-11-02,35
2016-11-03,39
2016-11-04,37
2016-11-05,28
2016-11-06,40
2016-11-07,26
2016-11-08,35
2016-11-09,29
2016-11-10,36
2016-11-11,42
2016-11-12,39
2016-11-13,54
2016-11-14,34
2016-11-15,39
2016-11-16,45
2016-11-17,35
2016-11-18,47
2016-11-19,35
2016-11-20,63
2016-11-21,38
2016-11-22,57
2016-11-23,37
2016-11-24,65
2016-11-25,90
2016-11-26,78
2016-11-27,49
2016-11-28,45
2016-11-29,40
2016-11-30,43
2016-12-01,36
2016-12-02,33
2016-12-03,39
2016-12-04,47
2016-12-05,50
2016-12-06,39
2016-12-07,43
2016-12-08,59
2016-12-09,35
2016-12-10,39
2016-12-11,36
2016-12-12,38
2016-12-13,46
2016-12-14,32
2016-12-15,51
2016-12-16,49
2016-12-17,25
2016-12-18,36
2016-12-19,33
2016-12-20,29
2016-12-21,49
2016-12-22,53
