contents,date
"영화 <형> 스틸컷 (1280px)
http://movie2.phinf.naver.net/20161020_136/14769419489932Nqtl_JPEG/movie_image.jpg?type=w640_2@2x …
http://movie2.phinf.naver.net/20161020_220/1476941949335BE550_JPEG/movie_image.jpg?type=w640_2@2x …pic.twitter.com/w4XdE5zJy2",2016-10-24
"[에무시네마] 10/25(수) 개봉작 <벨빌의 세 쌍둥이>

평식이형이 별7개 준 영화
평식이형은 믿고 봐야지

#에무시네마
#벨빌의세쌍둥이
#평식이형
#실뱅쇼메# http://fb.me/9CtH0w8mk ",2016-10-24
"영화 시사회 주요 일정(10.24-30)

제작보고회: 형  미씽: 사라진 여자
언론: 어떻게 헤어질까  제자 옥한흠2: 제자도
VIP: 어떻게 헤어질까  혼숨  두 번째 스물 
기타: 가톨릭영화제 개막 등

http://blog.naver.com/cinemaplus/220834804392 …pic.twitter.com/1XYGz0Tp5u",2016-10-24
[영화 '형'] 조정석.도경수.박신혜 완벽한 ‘케미’ 보도 스틸 공개: http://youtu.be/psMrhOgg6L8?a  via @YouTube,2016-10-24
<형> 예매권 이벤트 (~10/30) (출처 : 네이버 영화 카페 : 네영카 | 네이버 카페) http://naver.me/5IuCrrZ5 ,2016-10-24
"#엑소 #디오 #경수 #도경수
영화 형 보도스틸컷2
https://scontent.xx.fbcdn.net/v/t1.0-9/14650705_535140416681612_6510891141783109981_n.jpg?oh=c30d4b29e32e2627f9a26427a05d0354&oe=58A83336 …
https://scontent.xx.fbcdn.net/v/t1.0-9/14731132_535140413348279_6315205724877732374_n.jpg?oh=0e7709d35096e2ca893d839239976f8d&oe=589C128E …pic.twitter.com/DerQQrJ0ev",2016-10-24
"＂친형제인 줄＂…˙형˙ 조정석X도경수  브로케미 맛보기
http://naver.me/5eqWQOpP 

네이버 연예란 메인에 떴습니다!
하트 꾹 눌러주시고 이상한 댓글들은 신고  영화에 대한 기대평을 많이 남겨주세요 !",2016-10-24
"영화 포스터 만들어보기
#조정석 #디오 #영화_형
https://i.imgbox.com/V7AXrbJs.png pic.twitter.com/X8ulNXTL9s",2016-10-24
아...아...형은 참 좋은영화야 pic.twitter.com/rQKUvAbpdv,2016-10-24
영화<형> 스틸 사진 pic.twitter.com/WS6nuF5G37,2016-10-24
1차연성을 이러케 막     형 정말 좋은 영화    (코피줄줄 pic.twitter.com/sm1dkQ6kZq,2016-10-24
영화 <형> 개봉하면 같이 보러갈 엑소엘 없니?,2016-10-24
"스테타 : 영화를 보던 중 주인공이 너무 짜증나서 ""이 병신아!!!"" 라고 소리질렀는데 밖에 있던 형이 ""불렀냐?"" 하고는 문을 열고 들어왔다.",2016-10-24
내 행복앙 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 아구구 귀여워 죽어 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ 얼굴은 왜이러케 쪼꼬매 ㅠㅠㅠㅠㅠㅠ 진짜 넘 잘생겼네 ㅠㅠㅠㅠㅠㅠㅠㅠ 내 행복이 두 번째 주연 영화 형 분명 흥행할고야 하띵하띵  pic.twitter.com/OVyHPegwV6,2016-10-24
다크아이의 별자리는 처녀자리  혈액형은 A형  취미는 요가이고 좋아하는 영화는 호러영화  좋아하는 음식은 오징어먹물 스파게티와 파스타입니다,2016-10-24
[가정용 프로젝터 매력적인 옵토마 초소형프로젝터 사용해보니] 가정용 프로젝터로 매력적인 옵토마 초소형프로젝터 사용해보니 고해상도의 다양한 콘텐츠가 늘어나면서 좀 더 큰 화면으로 영화 등을 ... http://bit.ly/2cuWYl3 ,2016-10-24
"2년 전 김장우 형이 이끌고 보여주셨던 러시아 영화.

""리바이어던""

-

그리고 오늘 
JTBC 손석희 앵커의 앵커브리핑에서 나온 한 구절.

""마치 구약성경 속 무소불위의 괴물 '리바이어던'처럼... http://fb.me/1275ZphJr ",2016-10-24
공포영화라도 다 귀신이 나오는 영화는 아니니까요. 그보다 좋은 형이라니... pic.twitter.com/vuzP7VaK6A,2016-10-24
이거 그냥 형 볼 수 있는 영화 티켓을 준다는건가..? 내 돈주고갈게.. 나 창의력 없단 말이야 흑흑,2016-10-24
"영화 '형' 새로운 스틸컷!
으엉 두영아ㅠㅠ 
누냐 심댱이 지금 너모 .(말이안나와여ㅠㅠ pic.twitter.com/G5lHSSgWNC",2016-10-24
[가정용 프로젝터 매력적인 옵토마 초소형프로젝터 사용해보니] 가정용 프로젝터로 매력적인 옵토마 초소형프로젝터 사용해보니 고해상도의 다양한 콘텐츠가 늘어나면서 좀 더 큰 화면으로 영화 등을 ... http://bit.ly/2cuWYl3 ,2016-10-24
영화<형> 스틸 사진 pic.twitter.com/EN1ujae9ZD,2016-10-24
"장감독은 '김신부'역의 김윤석의 모습은 상당히 피곤했으면 좋겠다고 주문했단다. ""진이 빠진 사람 말이죠. 오직 한 소녀를 구출하기 위한 집념 하나로 영화를 처음부터 끝까지 일관성 있게 이끌어 나가는 김신부는 말도 단답형이고  이성적으로 냉정하거든요.""",2016-10-24
심쿵영화 !! #형 넘~ 보고싶어요~~,2016-10-24
형 이르케 노출 영화인데 어떡해ㅠㅠ 왜 11월 아니야? 내 인생에서 한달쯤 사라져도 되는데 pic.twitter.com/tetFJvfauq,2016-10-24
코우모토 항목 정리하는데 아라시 멤버 전원이 나온 영화가 있어 링님 생각나 항목 보는데 뭐여 이거 이놋치도 나오냐!!! 사쿠라이 형으로 나온다고? 뭐 이게 무슨소리야 왐마 pic.twitter.com/ouY37jdpnF,2016-10-24
"#엑소 #디오 #경수 #도경수
영화 형 보도스틸컷
https://scontent.xx.fbcdn.net/v/t1.0-9/14708287_535140490014938_1828267999760731129_n.jpg?oh=1719a7739264bab1acb50aea477e50ca&oe=588E9B37 …
https://scontent.xx.fbcdn.net/v/t1.0-9/14568025_535140573348263_6331269056944227184_n.jpg?oh=b6fa2c2c52236d55a75b1de880e76562&oe=58A697BC …
https://scontent.xx.fbcdn.net/v/t1.0-9/14731197_535140350014952_1235155529805939632_n.jpg?oh=d0475cd7861c1261a48bbd4a9b8be6c7&oe=58A05E20 …pic.twitter.com/pHg9xlUNU8",2016-10-24
아 진짜 저 요쿠르트 쥐고있는 귀염씹덕미랑 정장입고 칵테일잔 만지고있는 멋짐뿜뿜미의 갭모에 어떡할건데ㅠㅠㅠㅠㅠㅠ 으아아아 나 죽어ㅠㅠㅠ #도경수 #디오 #영화_형 #EXO #DO pic.twitter.com/sCqcL1KenC,2016-10-24
영화 형 스틸컷! 두영아 빨리 보고싶다 pic.twitter.com/oxtlvyeiZ7,2016-10-24
하하하. / 형 어떻게 지내... / 싸인해 주세요. / 어. 우리 프로가 여기도 나오나봐. 애들이 날 알아보네? / 네. 뭐 서울엔 바쁜 일 없구요? / 어  아니. 팬미팅 있었는데  어제. 바쁜 일 있어도 와야지. 우리 영화 올라간다는데.,2016-10-24
