Date,Frequancy
2016-02-16,0
2016-02-17,3
2016-02-18,0
2016-02-19,2
2016-02-20,2
2016-02-21,1
2016-02-22,0
2016-02-23,21
2016-02-24,4
2016-02-25,3
2016-02-26,5
2016-02-27,5
2016-02-28,3
2016-02-29,3
2016-03-01,2
2016-03-02,18
2016-03-03,9
2016-03-04,17
2016-03-05,8
2016-03-06,2
2016-03-07,3
2016-03-08,9
2016-03-09,5
2016-03-10,5
2016-03-11,8
2016-03-12,0
2016-03-13,2
2016-03-14,2
2016-03-15,9
2016-03-16,10
2016-03-17,17
2016-03-18,10
2016-03-19,15
2016-03-20,5
2016-03-21,11
2016-03-22,4
2016-03-23,4
2016-03-24,3
2016-03-25,3
2016-03-26,3
2016-03-27,0
2016-03-28,1
2016-03-29,3
2016-03-30,1
2016-03-31,0
2016-04-01,2
2016-04-02,2
2016-04-03,0
2016-04-04,0
2016-04-05,0
2016-04-06,0
2016-04-07,0
2016-04-08,0
2016-04-09,0
2016-04-10,0
2016-04-11,0
2016-04-12,0
2016-04-13,0
2016-04-14,0
2016-04-15,0
