contents,date
로버트 드 니로-잭 애프런 주연 '오 마이 그랜파' 국내 개봉 확정 > 많이 본 공감뉴스 > 동부뉴스2219 http://1go.co.kr/bbs/board.php?bo_table=wingnews&wr_id=7803 … @1gokr 님이 공유,2016-02-17
"통제불능 할아버지의 수습불가 인생수업
#오_마이_그랜파 메인포스터 공개!
 
사이다 같은 멘토링 필요하신 분들
할배차 뽑았다 널 데리러가 ~󾌧
3월  역대급 코미디 기대하세요! 

#오마이그랜파... http://fb.me/wv0U0qe6 ",2016-02-17
로버트 드 니로  잭 에프론 주연 코미디 #오마이그랜파 국내판 포스터 공개 http://buff.ly/20D4rx9 pic.twitter.com/weN1hQoaXD,2016-02-17
"괜찮아 자연스러웠어….
#오_마이_그랜파 메인포스터 공개되지마자
넘나 큰 웃음 주는 패러디포스터

아나 계속보게 되쟈나 󾆐

#오마이그랜파 #역대급코미디 #3월개봉
#빵터짐주의 #패러디포스터 #님아그강을건너지마오
#스파이 #위플래쉬 #인턴 #패러디꿀잼",2016-02-19
로버트 드 니로  '인턴' '오 마이 그랜파' '조이' 멘토링 전문 배우 자리매김 http://timeboard.co.kr/index.php?pg=detail&category=18&article=10253&rss=r …,2016-02-19
"3월 30일
나의 그리스식 웨딩 2 ♡
라스트 홈

3월 예정
대배우 !
오 마이 그랜파 !",2016-02-20
@lunamoth 오 마이 그랜파,2016-02-20
오 마이 그랜파 다시보기 https://onibabl.wordpress.com/2016/02/22/%ec%98%a4-%eb%a7%88%ec%9d%b4-%ea%b7%b8%eb%9e%9c%ed%8c%8c-%eb%8b%a4%ec%8b%9c%eb%b3%b4%ea%b8%b0 …,2016-02-21
"#오마이그랜파 세상에 이런 쉬운 퀴즈

Q. 모니터평점 9.3점! 역대급 코미디의 탄생! 
꽉 막힌 손자를 위한 로버트 드니로의 
인생 멘토링 영화의 제목은?

①오 마이 갓 ②오 마이 그랜파 
③오... http://fb.me/7Wob0XcUp ",2016-02-23
외국 코미디 영화 추천  로버트 드니로 <오 마이 그랜파> (출처 : 응답하라 .. | 네이버 블로그) http://me2.do/IIAJqIFz ,2016-02-23
로버트 드 니로  잭 에프론 #오마이그랜파 국내판 메인 예고편 공개 http://buff.ly/1SPz0Ar pic.twitter.com/BO1DBsEOsj,2016-02-23
<무비프리 시사회 이벤트> 오 마이 그랜파  Dirty Grandpa 개봉하기 전에 난 먼저 본다! 지금 무비프리에서 진행하는 이벤트에 참여하시.. http://app.moviepre.co.kr  pic.twitter.com/HHBpvBypz6,2016-02-23
<무비프리 시사회 이벤트> 오 마이 그랜파  Dirty Grandpa 개봉하기 전에 난 먼저 본다! 지금 무비프리에서 진행하는 이벤트에 참여하시.. http://app.moviepre.co.kr  pic.twitter.com/NADSmFQFIq,2016-02-23
<무비프리 시사회 이벤트> 오 마이 그랜파  Dirty Grandpa 개봉하기 전에 난 먼저 본다! 지금 무비프리에서 진행하는 이벤트에 참여하시.. http://app.moviepre.co.kr  pic.twitter.com/a632f3iJMg,2016-02-23
