Date,Frequancy
2016-04-25,2
2016-04-26,2
2016-04-27,2
2016-04-28,5
2016-04-29,1
2016-04-30,1
2016-05-01,3
2016-05-02,1
2016-05-03,0
2016-05-04,5
2016-05-05,3
2016-05-06,9
2016-05-07,3
2016-05-08,11
2016-05-09,2
2016-05-10,12
2016-05-11,11
2016-05-12,18
2016-05-13,12
2016-05-14,9
2016-05-15,8
2016-05-16,3
2016-05-17,6
2016-05-18,8
2016-05-19,3
2016-05-20,12
2016-05-21,1
2016-05-22,4
2016-05-23,8
2016-05-24,13
2016-05-25,26
2016-05-26,23
2016-05-27,14
2016-05-28,21
2016-05-29,9
2016-05-30,3
2016-05-31,8
2016-06-01,7
2016-06-02,3
2016-06-03,7
2016-06-04,6
2016-06-05,8
2016-06-06,9
2016-06-07,5
2016-06-08,5
2016-06-09,6
2016-06-10,3
2016-06-11,2
2016-06-12,2
2016-06-13,1
2016-06-14,2
2016-06-15,2
2016-06-16,2
2016-06-17,3
2016-06-18,1
2016-06-19,3
2016-06-20,1
2016-06-21,0
2016-06-22,3
2016-06-23,0
