contents,date
[5월개봉영화] 오만과 편견 그리고 좀비. 블러디 로맨스의 시작. http://jins3112.blog.me/220693275615 ,2016-04-25
"5/4 탐정 홍길동:사라진 마을
5/12 곡성/오만과 편견 그리고 좀비
5/19 바후발리: 더 비기닝/싱 스트리트/앵그리버드 더 무비/제3의사랑
5/26 미스터 홈즈
그리고 아마도 5월 말쯤에 엑스맨: 아포칼립스",2016-04-25
[엘리트 이벤트] 영화 '오만과 편견 그리고 좀비' 예매권 이벤트  (출처 : 엘리트학생.. | http://eliteblog.co.kr/220690666605  블로그) http://me2.do/GwK19HAd ,2016-04-26
"""오만과 편견 그리고 좀비"" 란 영화가 개봉한다고 한다... 이 제목 들었을때 뭔가 창작의 새 지평이 열리는 기분이었음. 심지어 예고편 보니까 의외로 재밌을듯
 https://youtu.be/n5bqQTgJ_9I ",2016-04-26
"요즘 영화가 개봉 일정이 바뀌는 소식들이 퍄퍄퍅 들려온다.
방금 전엔 '오만과 편견 그리고 좀비' 시사가 취소됐다. 개봉은 5월 12일에서 25일로 연기.

앞서 '엽기적인 그녀2'는 5월 예정이라고만 ...",2016-04-27
"@IDD_030 그리고 CGV는 포토티켓 무료선언을 후회하는데...

5월 상영중&예정작

캡틴아메리카:시빌워
오만과편견 그리고 좀비
다이버전트 시리즈:얼리전트
엑스맨: 아포칼립스

최대 수혜자는 무비덕 인것으로.",2016-04-27
[오만과 편견 그리고 좀비] 메인 예고편: http://youtu.be/qMzVMCxaPe8?a  (@YouTube),2016-04-28
오만과 편견 그리고 좀비 이거 국내개봉 합니까,2016-04-28
"5월달 개봉 미친듯 보고싶은거 많다...

스텝업
나의 소녀시대
더 보이
오만과 편견 그리고 좀비

으으 스텝업은 보러가는데
나의소녀시대 너무 보고싶다ㅜ ㅜ",2016-04-28
아 오만과편견 그리고좀비 영화관가서볼까.....보고싶긴한데 나좀비  막 튀어나오면 자꾸 크게 몸 움찔대서 다른관객한테 민폐끼칠거같은디,2016-04-28
[dynamide]오만과 편견  그리고 + 좀비.. 예고편 http://dynamide.tistory.com/9112 ,2016-04-28
'오만과 편견 그리고 좀비' 와 '미스터 홈즈' 개봉이 연기되다 http://extmovie.maxmovie.com/xe/11311449 ,2016-04-29
아냐 근데 플래시에게는 잘됐을 수도 있음 나는 애초에 왜 맡겼는지 알겠으면서도 모르겠다였기 때문에ㅋㅋㅋㅋㅋ이 사람 진중한 삐끕의 냄새를 가지고 있음 링컨뱀파이어헌터랑 오만과편견그리고좀비 원작자라고 하면 모두 어떤 느낌인지 알 것이다....,2016-04-30
[엘리트 이벤트] 영화 '오만과 편견 그리고 좀비' 예매권 이벤트  (출처 : 엘리트학생.. | http://eliteblog.co.kr/220690666605  블로그) http://me2.do/GwK19HAd ,2016-05-01
오만과편견 그리고좀비 이거 개쩔거같다 19세기 드레스입고 개잘싸우는 귀족 아가씨들임 ㄷㄷㄷㄷㄷㄷㄷㄷ,2016-05-01
엑아포는 아직 없네. 향수랑 오만과편견 그리고 좀비 챙겼어. 필요하신분?,2016-05-01
오만과 편견의 엘리는 좀 친구하기 싫은 유형이었는데 그리고 좀비의 엘리는 트위터 알려주고 트친이 되고 싶은 여자다,2016-05-02
좀비영화 ‘오만과 편견 그리고 좀비’ ‘부산행’  올해 스크린 달군다 http://dam27.com/?p=230277  pic.twitter.com/hyQk9Ogw9B,2016-05-04
나한테 오만과편견그리고좀비랑 트와일라잇시리즈와 그레이의그림자는 같은 비교선상에 들 수 있음,2016-05-04
제가 오만과 편견 그리고 좀비 팜플렛을 얻는다면 못얻으신 분들께 보내드립니다..ㄹㅇ,2016-05-04
@Mint_51_ 오만과편견 그리고 좀비 그거 소설먼저 봐 소설 진짜 흥미로움,2016-05-04
좀비영화 ‘오만과 편견 그리고 좀비’ ‘부산행’  올해 스크린 달군다 http://dam27.com/?p=230277  pic.twitter.com/o3lRKgQOtW,2016-05-04
[영화초대] 영화 <오만과 편견 그리고 좀비>예매권 이벤트 (~5/6) (출처 : [아웃캠퍼스] 대학생 공모전 대외활동 해외봉사 인턴 취업 | 네이버 카페) http://me2.do/GC1oAvUM ,2016-05-05
"아 아빠차에 오만과편견그리고좀비 포스터 두고 왓어!!!우ㅏㅇ아ㅏ아아아아
맷 스미스있어서 챙겼단 말야!!!!안도ㅑ애애앵",2016-05-05
영화[오만과편견그리고좀비]예매권,2016-05-05
[엘리트 이벤트] 영화 '오만과 편견 그리고 좀비' 예매권 이벤트  (출처 : 엘리트학생.. | http://eliteblog.co.kr/220690666605  블로그) http://me2.do/GwK19HAd ,2016-05-06
[오만과 편견 그리고 좀비] 메인예고편 https://youtu.be/y1txigO53ac  @YouTube 님이 공유,2016-05-06
